,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2000-06-11,2000.0,6.0,23.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.04158557497284522,0.7016502720814762,14.0,-0.0,0.0,6.0,2.0,-0.0,0.0,0.0,0.0,13.0,15.0,9.0,0
1,1,2000-06-12,2000.0,6.0,24.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,15.0,-0.0,-0.0,10.0,2.0,-0.0,-0.0,0.0,-0.0,15.0,6.0,6.0,0
2,2,2000-06-13,2000.0,6.0,24.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,10.0,-0.0,-0.0,15.0,2.0,-0.0,-0.0,-0.0,-0.0,14.0,14.0,7.0,0
3,3,2000-06-14,2000.0,6.0,24.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,12.0,0.0,-0.0,18.0,-1.0,0.0,-0.0,-0.0,-0.0,18.0,12.0,7.0,0
4,4,2000-06-15,2000.0,6.0,24.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,18.0,-0.0,-0.0,7.0,3.0,0.0,0.0,-0.0,0.0,17.0,6.0,9.0,0
5,5,2000-06-16,2000.0,6.0,24.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,15.0,0.0,0.0,5.0,-0.0,0.0,-0.0,0.0,-0.0,13.0,12.0,9.0,0
6,6,2000-06-17,2000.0,6.0,24.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,11.0,0.0,-0.0,9.0,1.0,0.0,-0.0,0.0,0.0,16.0,18.0,10.0,0
7,7,2000-06-18,2000.0,6.0,24.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,11.0,-0.0,0.0,12.0,1.0,0.0,-0.0,0.0,0.0,17.0,24.0,10.0,0
6,6,2000-06-17,2000.0,6.0,24.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,11.0,0.0,-0.0,9.0,1.0,0.0,-0.0,0.0,0.0,16.0,18.0,10.0,1
7,7,2000-06-18,2000.0,6.0,24.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,11.0,-0.0,0.0,12.0,1.0,0.0,-0.0,0.0,0.0,17.0,24.0,10.0,1
8,8,2000-06-19,2000.0,6.0,25.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,9.0,0.0,-0.0,5.0,0.0,0.0,-0.0,-0.0,-0.0,15.0,12.0,9.0,1
9,9,2000-06-20,2000.0,6.0,25.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,10.0,-0.0,-0.0,6.0,-0.0,-0.0,-0.0,0.0,-0.0,14.0,17.0,9.0,1
10,10,2000-06-21,2000.0,6.0,25.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,8.0,0.0,-0.0,7.0,3.0,-0.0,0.0,0.0,0.0,17.0,19.0,10.0,1
11,11,2000-06-22,2000.0,6.0,25.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,11.0,-0.0,-0.0,6.0,-0.0,0.0,0.0,-0.0,-0.0,18.0,11.0,10.0,1
12,12,2000-06-23,2000.0,6.0,25.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,8.0,0.0,0.0,4.0,3.0,-0.0,0.0,-0.0,0.0,17.0,16.0,9.0,1
13,13,2000-06-25,2000.0,6.0,25.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,12.0,0.0,0.0,9.0,1.0,0.0,-0.0,0.0,-0.0,13.0,22.0,9.0,1
12,12,2000-06-23,2000.0,6.0,25.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,8.0,0.0,0.0,4.0,3.0,-0.0,0.0,-0.0,0.0,17.0,16.0,9.0,2
