,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2000-01-01,2000.0,1.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.4408374324996249,7.0,1.0,-0.0,18.0,19.0,0.0,0.0,0.0,-0.0,1.0,4.0,2.0,0
1,1,2000-01-02,2000.0,1.0,52.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.4408374324996249,8.0,1.0,0.0,19.0,18.0,-0.0,-0.0,0.0,-0.0,2.0,9.0,5.0,0
0,0,2000-01-01,2000.0,1.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.4408374324996249,7.0,1.0,-0.0,18.0,19.0,0.0,0.0,0.0,-0.0,1.0,4.0,2.0,1
1,1,2000-01-02,2000.0,1.0,52.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.4408374324996249,8.0,1.0,0.0,19.0,18.0,-0.0,-0.0,0.0,-0.0,2.0,9.0,5.0,1
2,2,2000-01-03,2000.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9964874635286428,0.559162567500375,9.0,1.0,-0.0,13.0,18.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,1
3,3,2000-01-04,2000.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,8.0,0.0,-0.0,10.0,16.0,0.0,-0.0,-0.0,-0.0,2.0,15.0,6.0,1
4,4,2000-01-05,2000.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,7.0,-0.0,-0.0,5.0,16.0,-0.0,0.0,-0.0,-0.0,3.0,8.0,5.0,1
5,5,2000-01-06,2000.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,4.0,0.0,-0.0,2.0,16.0,-0.0,0.0,0.0,-0.0,1.0,6.0,4.0,1
6,6,2000-01-07,2000.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,6.0,0.0,0.0,7.0,16.0,-0.0,0.0,0.0,0.0,2.0,6.0,4.0,1
7,7,2000-01-08,2000.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,-0.0,5.0,17.0,-0.0,0.0,0.0,-0.0,1.0,8.0,4.0,1
8,8,2000-01-09,2000.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,0.0,0.0,-0.0,-1.0,18.0,0.0,-0.0,-0.0,-0.0,11.0,9.0,4.0,1
7,7,2000-01-08,2000.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,-0.0,5.0,17.0,-0.0,0.0,0.0,-0.0,1.0,8.0,4.0,2
8,8,2000-01-09,2000.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,0.0,0.0,-0.0,-1.0,18.0,0.0,-0.0,-0.0,-0.0,11.0,9.0,4.0,2
9,9,2000-01-10,2000.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,0.0,-0.0,-0.0,4.0,18.0,0.0,-0.0,0.0,0.0,9.0,15.0,4.0,2
10,10,2000-01-11,2000.0,1.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,1.0,0.0,0.0,3.0,14.0,-0.0,0.0,-0.0,-0.0,1.0,10.0,4.0,2
11,11,2000-01-12,2000.0,1.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,1.0,0.0,0.0,1.0,16.0,0.0,0.0,-0.0,0.0,2.0,19.0,4.0,2
12,12,2000-01-13,2000.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,0.0,-0.0,2.0,19.0,-0.0,0.0,0.0,0.0,1.0,17.0,4.0,2
13,13,2000-01-14,2000.0,1.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,6.0,1.0,0.0,8.0,19.0,0.0,0.0,-0.0,-0.0,7.0,11.0,4.0,2
14,14,2000-01-15,2000.0,1.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,6.0,0.0,0.0,18.0,19.0,-0.0,-0.0,-0.0,-0.0,3.0,5.0,4.0,2
15,15,2000-01-16,2000.0,1.0,2.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9859991624270542,0.6174946222389921,7.0,-0.0,0.0,19.0,19.0,-0.0,0.0,-0.0,0.0,2.0,19.0,4.0,2
14,14,2000-01-15,2000.0,1.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,6.0,0.0,0.0,18.0,19.0,-0.0,-0.0,-0.0,-0.0,3.0,5.0,4.0,3
15,15,2000-01-16,2000.0,1.0,2.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9859991624270542,0.6174946222389921,7.0,-0.0,0.0,19.0,19.0,-0.0,0.0,-0.0,0.0,2.0,19.0,4.0,3
16,16,2000-01-17,2000.0,1.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9686823294520612,0.6741773100327622,8.0,1.0,0.0,10.0,19.0,0.0,0.0,-0.0,0.0,1.0,14.0,4.0,3
17,17,2000-01-18,2000.0,1.0,3.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,6.0,1.0,-0.0,18.0,19.0,0.0,0.0,-0.0,-0.0,4.0,8.0,4.0,3
18,18,2000-01-19,2000.0,1.0,3.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,8.0,0.0,0.0,17.0,19.0,-0.0,0.0,-0.0,-0.0,9.0,7.0,3.0,3
19,19,2000-01-20,2000.0,1.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,9.0,0.0,0.0,6.0,15.0,-0.0,0.0,0.0,0.0,14.0,7.0,3.0,3
20,20,2000-01-21,2000.0,1.0,3.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,6.0,-0.0,0.0,5.0,15.0,-0.0,0.0,-0.0,-0.0,10.0,8.0,5.0,3
21,21,2000-01-22,2000.0,1.0,3.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,5.0,-0.0,0.0,5.0,17.0,0.0,0.0,-0.0,0.0,9.0,19.0,5.0,3
22,22,2000-01-23,2000.0,1.0,3.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,-0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,-0.0,12.0,8.0,4.0,3
21,21,2000-01-22,2000.0,1.0,3.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,5.0,-0.0,0.0,5.0,17.0,0.0,0.0,-0.0,0.0,9.0,19.0,5.0,4
22,22,2000-01-23,2000.0,1.0,3.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,-0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,-0.0,12.0,8.0,4.0,4
23,23,2000-01-24,2000.0,1.0,4.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9447800549796659,0.7284149301950444,0.0,-0.0,0.0,8.0,17.0,0.0,0.0,-0.0,0.0,12.0,6.0,4.0,4
24,24,2000-01-25,2000.0,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9447800549796662,0.7284149301950444,-0.0,-0.0,0.0,4.0,12.0,0.0,0.0,-0.0,-0.0,14.0,2.0,4.0,4
25,25,2000-01-26,2000.0,1.0,4.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9447800549796659,0.7284149301950444,1.0,0.0,0.0,2.0,17.0,-0.0,-0.0,0.0,-0.0,9.0,5.0,4.0,4
