,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2008-09-16,2008.0,9.0,38.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,17.0,0.0,0.0,19.0,7.0,0.0,-0.0,0.0,-0.0,8.0,1.0,7.0,0
1,1,2008-09-17,2008.0,9.0,38.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18.0,-0.0,0.0,17.0,8.0,0.0,-0.0,0.0,-0.0,3.0,7.0,7.0,0
2,2,2008-09-18,2008.0,9.0,38.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18.0,0.0,-0.0,19.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0
3,3,2008-09-19,2008.0,9.0,38.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,17.0,0.0,0.0,18.0,8.0,-0.0,0.0,0.0,-0.0,3.0,1.0,7.0,0
4,4,2008-09-20,2008.0,9.0,38.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,17.0,-0.0,0.0,19.0,10.0,0.0,-0.0,0.0,-0.0,3.0,1.0,6.0,0
5,5,2008-09-21,2008.0,9.0,38.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,19.0,-0.0,0.0,19.0,7.0,-0.0,0.0,0.0,-0.0,8.0,1.0,6.0,0
4,4,2008-09-20,2008.0,9.0,38.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,17.0,-0.0,0.0,19.0,10.0,0.0,-0.0,0.0,-0.0,3.0,1.0,6.0,1
5,5,2008-09-21,2008.0,9.0,38.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,19.0,-0.0,0.0,19.0,7.0,-0.0,0.0,0.0,-0.0,8.0,1.0,6.0,1
6,6,2008-09-22,2008.0,9.0,39.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.4551235777621591,0.001756268235678593,19.0,-0.0,0.0,19.0,10.0,-0.0,-0.0,0.0,0.0,8.0,1.0,6.0,1
7,7,2008-09-23,2008.0,9.0,39.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.4551235777621591,0.001756268235678593,18.0,0.0,0.0,16.0,11.0,1.0,0.0,-0.0,0.0,8.0,1.0,6.0,1
