,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2008-02-01,2008.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,3.0,-0.0,0.0,17.0,18.0,0.0,-0.0,0.0,-0.0,8.0,1.0,1.0,0
1,1,2008-02-02,2008.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,2.0,0.0,0.0,14.0,17.0,-0.0,0.0,0.0,-0.0,8.0,1.0,1.0,0
2,2,2008-02-03,2008.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,3.0,0.0,-0.0,19.0,18.0,0.0,0.0,0.0,-0.0,8.0,6.0,1.0,0
1,1,2008-02-02,2008.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,2.0,0.0,0.0,14.0,17.0,-0.0,0.0,0.0,-0.0,8.0,1.0,1.0,1
2,2,2008-02-03,2008.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,3.0,0.0,-0.0,19.0,18.0,0.0,0.0,0.0,-0.0,8.0,6.0,1.0,1
3,3,2008-02-04,2008.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,1.0,0.0,-0.0,19.0,18.0,0.0,0.0,0.0,-0.0,8.0,8.0,0.0,1
4,4,2008-02-05,2008.0,2.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,-0.0,0.0,0.0,13.0,19.0,0.0,-0.0,-0.0,-0.0,8.0,1.0,2.0,1
5,5,2008-02-06,2008.0,2.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,-0.0,0.0,-0.0,13.0,16.0,0.0,-0.0,0.0,-0.0,8.0,9.0,2.0,1
6,6,2008-02-07,2008.0,2.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,2.0,-0.0,0.0,8.0,13.0,-0.0,0.0,0.0,0.0,8.0,1.0,2.0,1
7,7,2008-02-08,2008.0,2.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,5.0,0.0,-0.0,9.0,13.0,-0.0,0.0,-0.0,0.0,8.0,1.0,2.0,1
