,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2006-05-01,2006.0,5.0,18.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,9.0,0.0,0.0,-0.0,7.0,0.0,0.0,0.0,-0.0,13.0,10.0,10.0,0
1,1,2006-05-02,2006.0,5.0,18.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,1.0,0.0,0.0,-1.0,6.0,0.0,-0.0,0.0,0.0,6.0,7.0,9.0,0
2,2,2006-05-03,2006.0,5.0,18.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,18.0,0.0,0.0,0.0,11.0,0.0,-0.0,-0.0,-0.0,8.0,10.0,10.0,0
3,3,2006-05-04,2006.0,5.0,18.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,17.0,-0.0,-0.0,0.0,6.0,-0.0,0.0,0.0,-0.0,8.0,3.0,9.0,0
4,4,2006-05-05,2006.0,5.0,18.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,16.0,0.0,0.0,-0.0,7.0,-0.0,0.0,-0.0,-0.0,8.0,9.0,10.0,0
5,5,2006-05-06,2006.0,5.0,18.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,15.0,0.0,0.0,2.0,3.0,-0.0,-0.0,-0.0,0.0,8.0,7.0,10.0,0
6,6,2006-05-07,2006.0,5.0,18.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,19.0,-0.0,0.0,6.0,5.0,0.0,0.0,0.0,-0.0,18.0,9.0,10.0,0
5,5,2006-05-06,2006.0,5.0,18.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,15.0,0.0,0.0,2.0,3.0,-0.0,-0.0,-0.0,0.0,8.0,7.0,10.0,1
6,6,2006-05-07,2006.0,5.0,18.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.2324142677977913,0.9229837607760186,19.0,-0.0,0.0,6.0,5.0,0.0,0.0,0.0,-0.0,18.0,9.0,10.0,1
7,7,2006-05-08,2006.0,5.0,19.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,18.0,-0.0,-0.0,5.0,7.0,0.0,-0.0,0.0,-0.0,13.0,12.0,9.0,1
8,8,2006-05-09,2006.0,5.0,19.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,14.0,0.0,0.0,4.0,2.0,0.0,-0.0,-0.0,0.0,8.0,10.0,7.0,1
9,9,2006-05-10,2006.0,5.0,19.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,13.0,-0.0,-0.0,1.0,4.0,-0.0,0.0,-0.0,-0.0,8.0,8.0,7.0,1
10,10,2006-05-11,2006.0,5.0,19.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,16.0,0.0,-0.0,0.0,7.0,0.0,0.0,-0.0,0.0,8.0,11.0,9.0,1
11,11,2006-05-12,2006.0,5.0,19.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,15.0,-0.0,-0.0,0.0,5.0,0.0,-0.0,-0.0,0.0,8.0,2.0,10.0,1
12,12,2006-05-13,2006.0,5.0,19.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,13.0,0.0,-0.0,0.0,4.0,0.0,-0.0,0.0,-0.0,8.0,4.0,9.0,1
13,13,2006-05-14,2006.0,5.0,19.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,18.0,-0.0,-0.0,2.0,5.0,-0.0,-0.0,-0.0,0.0,8.0,11.0,10.0,1
12,12,2006-05-13,2006.0,5.0,19.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,13.0,0.0,-0.0,0.0,4.0,0.0,-0.0,0.0,-0.0,8.0,4.0,9.0,2
13,13,2006-05-14,2006.0,5.0,19.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.18423973128520832,0.8884325167391701,18.0,-0.0,-0.0,2.0,5.0,-0.0,-0.0,-0.0,0.0,8.0,11.0,10.0,2
14,14,2006-05-15,2006.0,5.0,20.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,10.0,0.0,-0.0,1.0,7.0,-0.0,0.0,-0.0,-0.0,18.0,11.0,9.0,2
15,15,2006-05-16,2006.0,5.0,20.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,9.0,0.0,-0.0,0.0,4.0,0.0,-0.0,-0.0,-0.0,8.0,1.0,9.0,2
16,16,2006-05-17,2006.0,5.0,20.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,8.0,0.0,-0.0,-0.0,5.0,0.0,0.0,-0.0,-0.0,8.0,11.0,10.0,2
17,17,2006-05-18,2006.0,5.0,20.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,12.0,0.0,0.0,0.0,7.0,-0.0,-0.0,-0.0,-0.0,8.0,19.0,10.0,2
18,18,2006-05-19,2006.0,5.0,20.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,12.0,0.0,-0.0,0.0,7.0,0.0,0.0,0.0,-0.0,18.0,14.0,10.0,2
19,19,2006-05-20,2006.0,5.0,20.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,15.0,-0.0,0.0,2.0,6.0,0.0,-0.0,-0.0,-0.0,8.0,9.0,10.0,2
20,20,2006-05-21,2006.0,5.0,20.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,16.0,0.0,-0.0,1.0,4.0,-0.0,0.0,-0.0,0.0,13.0,13.0,10.0,2
19,19,2006-05-20,2006.0,5.0,20.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,15.0,-0.0,0.0,2.0,6.0,0.0,-0.0,-0.0,-0.0,8.0,9.0,10.0,3
20,20,2006-05-21,2006.0,5.0,20.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.1404916078341044,0.8484285316218811,16.0,0.0,-0.0,1.0,4.0,-0.0,0.0,-0.0,0.0,13.0,13.0,10.0,3
21,21,2006-05-22,2006.0,5.0,21.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,14.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,-0.0,6.0,7.0,10.0,3
22,22,2006-05-23,2006.0,5.0,21.0,23.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,13.0,0.0,-0.0,3.0,7.0,-0.0,0.0,-0.0,0.0,8.0,8.0,10.0,3
23,23,2006-05-24,2006.0,5.0,21.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,16.0,0.0,0.0,5.0,10.0,0.0,-0.0,0.0,-0.0,8.0,3.0,9.0,3
24,24,2006-05-25,2006.0,5.0,21.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,18.0,-0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,8.0,6.0,9.0,3
25,25,2006-05-26,2006.0,5.0,21.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,17.0,-0.0,0.0,5.0,8.0,0.0,0.0,-0.0,0.0,8.0,8.0,10.0,3
26,26,2006-05-27,2006.0,5.0,21.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,19.0,0.0,-0.0,3.0,10.0,-0.0,-0.0,0.0,0.0,8.0,7.0,9.0,3
27,27,2006-05-28,2006.0,5.0,21.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,17.0,0.0,0.0,4.0,10.0,0.0,-0.0,0.0,-0.0,6.0,7.0,6.0,3
26,26,2006-05-27,2006.0,5.0,21.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,19.0,0.0,-0.0,3.0,10.0,-0.0,-0.0,0.0,0.0,8.0,7.0,9.0,4
27,27,2006-05-28,2006.0,5.0,21.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.10178402520066376,0.8035333736853816,17.0,0.0,0.0,4.0,10.0,0.0,-0.0,0.0,-0.0,6.0,7.0,6.0,4
28,28,2006-05-29,2006.0,5.0,22.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,14.0,-0.0,0.0,1.0,9.0,-0.0,-0.0,0.0,-0.0,8.0,9.0,5.0,4
29,29,2006-05-30,2006.0,5.0,22.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,17.0,-0.0,-0.0,1.0,7.0,-0.0,0.0,-0.0,0.0,18.0,11.0,8.0,4
30,30,2006-05-31,2006.0,5.0,22.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06698729810778065,0.75,0.06866035299699264,0.7543772725357004,10.0,0.0,-0.0,2.0,3.0,-0.0,-0.0,-0.0,0.0,13.0,4.0,8.0,4
