,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2006-07-01,2006.0,7.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,17.0,0.0,-0.0,10.0,-0.0,0.0,0.0,-0.0,0.0,8.0,3.0,9.0,0
1,1,2006-07-02,2006.0,7.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,19.0,0.0,-0.0,7.0,0.0,0.0,0.0,0.0,-0.0,8.0,6.0,6.0,0
0,0,2006-07-01,2006.0,7.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,17.0,0.0,-0.0,10.0,-0.0,0.0,0.0,-0.0,0.0,8.0,3.0,9.0,1
1,1,2006-07-02,2006.0,7.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,19.0,0.0,-0.0,7.0,0.0,0.0,0.0,0.0,-0.0,8.0,6.0,6.0,1
2,2,2006-07-03,2006.0,7.0,27.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,19.0,-0.0,-0.0,4.0,0.0,0.0,-0.0,0.0,-0.0,8.0,1.0,9.0,1
3,3,2006-07-04,2006.0,7.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,19.0,-0.0,-0.0,11.0,1.0,-0.0,0.0,-0.0,0.0,8.0,1.0,8.0,1
4,4,2006-07-05,2006.0,7.0,27.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,18.0,0.0,0.0,13.0,0.0,-0.0,0.0,0.0,-0.0,8.0,1.0,7.0,1
5,5,2006-07-06,2006.0,7.0,27.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,18.0,0.0,-0.0,12.0,0.0,-0.0,-0.0,0.0,0.0,3.0,5.0,5.0,1
6,6,2006-07-07,2006.0,7.0,27.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,19.0,-0.0,-0.0,12.0,1.0,0.0,0.0,0.0,-0.0,8.0,1.0,8.0,1
7,7,2006-07-08,2006.0,7.0,27.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,19.0,0.0,-0.0,13.0,1.0,-0.0,-0.0,0.0,0.0,13.0,1.0,7.0,1
