,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2004-10-01,2004.0,10.0,40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,15.0,-0.0,-0.0,10.0,10.0,0.0,-0.0,-0.0,0.0,8.0,2.0,7.0,0
1,1,2004-10-02,2004.0,10.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,14.0,-0.0,0.0,9.0,11.0,-0.0,-0.0,-0.0,-0.0,8.0,2.0,8.0,0
2,2,2004-10-03,2004.0,10.0,40.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,15.0,-0.0,-0.0,9.0,13.0,-0.0,0.0,-0.0,-0.0,3.0,1.0,7.0,0
1,1,2004-10-02,2004.0,10.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,14.0,-0.0,0.0,9.0,11.0,-0.0,-0.0,-0.0,-0.0,8.0,2.0,8.0,1
2,2,2004-10-03,2004.0,10.0,40.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,15.0,-0.0,-0.0,9.0,13.0,-0.0,0.0,-0.0,-0.0,3.0,1.0,7.0,1
3,3,2004-10-04,2004.0,10.0,41.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,12.0,0.0,0.0,14.0,13.0,0.0,0.0,-0.0,-0.0,3.0,6.0,8.0,1
4,4,2004-10-05,2004.0,10.0,41.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,13.0,0.0,-0.0,7.0,10.0,0.0,-0.0,0.0,0.0,3.0,1.0,8.0,1
5,5,2004-10-06,2004.0,10.0,41.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,12.0,0.0,-0.0,12.0,12.0,-0.0,0.0,0.0,-0.0,8.0,1.0,7.0,1
6,6,2004-10-07,2004.0,10.0,41.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,11.0,-0.0,-0.0,5.0,12.0,-0.0,-0.0,-0.0,0.0,13.0,1.0,5.0,1
7,7,2004-10-08,2004.0,10.0,41.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,9.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,1
