,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2004-09-16,2004.0,9.0,38.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18.0,-0.0,0.0,19.0,11.0,0.0,-0.0,-0.0,-0.0,12.0,6.0,7.0,0
1,1,2004-09-17,2004.0,9.0,38.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.3964807197586971,0.010506786301598792,19.0,0.0,-0.0,18.0,11.0,0.0,-0.0,-0.0,-0.0,8.0,6.0,6.0,0
2,2,2004-09-18,2004.0,9.0,38.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.3964807197586971,0.010506786301598792,20.0,-0.0,-0.0,18.0,9.0,0.0,-0.0,-0.0,0.0,8.0,2.0,7.0,0
3,3,2004-09-19,2004.0,9.0,38.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.3964807197586971,0.010506786301598792,18.0,-0.0,0.0,19.0,11.0,-0.0,-0.0,0.0,-0.0,8.0,1.0,5.0,0
2,2,2004-09-18,2004.0,9.0,38.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.3964807197586971,0.010506786301598792,20.0,-0.0,-0.0,18.0,9.0,0.0,-0.0,-0.0,0.0,8.0,2.0,7.0,1
3,3,2004-09-19,2004.0,9.0,38.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.3964807197586971,0.010506786301598792,18.0,-0.0,0.0,19.0,11.0,-0.0,-0.0,0.0,-0.0,8.0,1.0,5.0,1
4,4,2004-09-20,2004.0,9.0,39.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,20.0,0.0,0.0,19.0,10.0,-0.0,-0.0,0.0,0.0,8.0,1.0,4.0,1
5,5,2004-09-21,2004.0,9.0,39.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,19.0,0.0,0.0,18.0,11.0,-0.0,0.0,-0.0,-0.0,8.0,1.0,7.0,1
6,6,2004-09-22,2004.0,9.0,39.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,19.0,0.0,-0.0,17.0,12.0,-0.0,0.0,-0.0,0.0,8.0,6.0,6.0,1
7,7,2004-09-23,2004.0,9.0,39.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,17.0,-0.0,0.0,13.0,13.0,-0.0,0.0,0.0,0.0,8.0,1.0,7.0,1
