,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2004-02-01,2004.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290903,4.0,-0.0,-0.0,19.0,17.0,-0.0,0.0,0.0,0.0,17.0,12.0,3.0,0
1,1,2004-02-02,2004.0,2.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,1.0,-0.0,0.0,10.0,18.0,0.0,0.0,-0.0,0.0,19.0,19.0,2.0,0
2,2,2004-02-03,2004.0,2.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922194,0.8786490586790042,0.8265544698963294,3.0,-0.0,0.0,9.0,20.0,-0.0,-0.0,0.0,-0.0,19.0,9.0,1.0,0
3,3,2004-02-05,2004.0,2.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790043,0.8265544698963293,-0.0,0.0,-0.0,8.0,17.0,0.0,-0.0,0.0,-0.0,19.0,13.0,2.0,0
4,4,2004-02-06,2004.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790043,0.8265544698963294,1.0,-0.0,0.0,4.0,16.0,0.0,-0.0,0.0,0.0,17.0,5.0,3.0,0
5,5,2004-02-07,2004.0,2.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790043,0.8265544698963293,3.0,0.0,-0.0,5.0,15.0,0.0,-0.0,-0.0,0.0,19.0,8.0,3.0,0
6,6,2004-02-08,2004.0,2.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,-1.0,0.0,-0.0,10.0,13.0,-0.0,0.0,-0.0,0.0,19.0,2.0,5.0,0
5,5,2004-02-07,2004.0,2.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790043,0.8265544698963293,3.0,0.0,-0.0,5.0,15.0,0.0,-0.0,-0.0,0.0,19.0,8.0,3.0,1
6,6,2004-02-08,2004.0,2.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,-1.0,0.0,-0.0,10.0,13.0,-0.0,0.0,-0.0,0.0,19.0,2.0,5.0,1
7,7,2004-02-09,2004.0,2.0,7.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778668,0.8690787254224499,5.0,-0.0,-0.0,11.0,14.0,-0.0,-0.0,0.0,0.0,18.0,7.0,4.0,1
8,8,2004-02-10,2004.0,2.0,7.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778669,0.8690787254224498,3.0,-0.0,0.0,5.0,13.0,0.0,-0.0,0.0,0.0,18.0,2.0,4.0,1
9,9,2004-02-11,2004.0,2.0,7.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778669,0.8690787254224498,-0.0,0.0,-0.0,5.0,11.0,-0.0,-0.0,0.0,-0.0,19.0,5.0,4.0,1
10,10,2004-02-12,2004.0,2.0,7.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778668,0.8690787254224499,2.0,-0.0,0.0,6.0,7.0,0.0,0.0,-0.0,0.0,19.0,9.0,4.0,1
11,11,2004-02-13,2004.0,2.0,7.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778668,0.8690787254224499,5.0,0.0,-0.0,20.0,10.0,-0.0,-0.0,-0.0,-0.0,18.0,7.0,5.0,1
12,12,2004-02-14,2004.0,2.0,7.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778668,0.8690787254224499,4.0,-0.0,0.0,18.0,6.0,0.0,-0.0,0.0,-0.0,19.0,7.0,5.0,1
13,13,2004-02-15,2004.0,2.0,7.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778669,0.8690787254224498,7.0,-0.0,-0.0,11.0,11.0,0.0,0.0,-0.0,0.0,19.0,5.0,3.0,1
12,12,2004-02-14,2004.0,2.0,7.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778668,0.8690787254224499,4.0,-0.0,0.0,18.0,6.0,0.0,-0.0,0.0,-0.0,19.0,7.0,5.0,2
13,13,2004-02-15,2004.0,2.0,7.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8373486710778669,0.8690787254224498,7.0,-0.0,-0.0,11.0,11.0,0.0,0.0,-0.0,0.0,19.0,5.0,3.0,2
14,14,2004-02-16,2004.0,2.0,8.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.7913064786559719,0.9064219246741828,9.0,-0.0,-0.0,6.0,9.0,1.0,0.0,-0.0,-0.0,14.0,11.0,4.0,2
