,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2004-01-01,2004.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,4.0,1.0,-0.0,16.0,19.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0
1,1,2004-01-02,2004.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,3.0,0.0,-0.0,19.0,18.0,-0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,0
2,2,2004-01-03,2004.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,1.0,-0.0,-0.0,13.0,19.0,0.0,0.0,0.0,-0.0,3.0,9.0,-0.0,0
3,3,2004-01-04,2004.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,0.0,13.0,19.0,-0.0,-0.0,0.0,0.0,3.0,1.0,-0.0,0
2,2,2004-01-03,2004.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,1.0,-0.0,-0.0,13.0,19.0,0.0,0.0,0.0,-0.0,3.0,9.0,-0.0,1
3,3,2004-01-04,2004.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,0.0,13.0,19.0,-0.0,-0.0,0.0,0.0,3.0,1.0,-0.0,1
4,4,2004-01-05,2004.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,3.0,-0.0,0.0,13.0,17.0,-0.0,0.0,0.0,0.0,8.0,1.0,1.0,1
5,5,2004-01-06,2004.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,3.0,0.0,0.0,15.0,18.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,3.0,1
6,6,2004-01-07,2004.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,0.0,-0.0,0.0,16.0,19.0,0.0,0.0,-0.0,-0.0,3.0,2.0,3.0,1
7,7,2004-01-08,2004.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,2.0,0.0,0.0,13.0,19.0,-0.0,0.0,0.0,-0.0,3.0,2.0,1.0,1
