,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2002-04-01,2002.0,4.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.4551235777621594,0.9982437317643216,9.0,-0.0,0.0,7.0,14.0,-0.0,-0.0,-0.0,-0.0,12.0,15.0,6.0,0
1,1,2002-04-02,2002.0,4.0,14.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.4551235777621594,0.9982437317643216,11.0,0.0,-0.0,9.0,13.0,-0.0,0.0,-0.0,0.0,10.0,6.0,6.0,0
2,2,2002-04-03,2002.0,4.0,14.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,11.0,0.0,-0.0,7.0,11.0,0.0,-0.0,0.0,0.0,11.0,16.0,6.0,0
3,3,2002-04-04,2002.0,4.0,14.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.4551235777621594,0.9982437317643216,12.0,0.0,0.0,6.0,12.0,-0.0,-0.0,0.0,0.0,8.0,6.0,6.0,0
4,4,2002-04-05,2002.0,4.0,14.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.4551235777621594,0.9982437317643216,12.0,0.0,0.0,9.0,10.0,-0.0,-0.0,0.0,0.0,8.0,9.0,6.0,0
5,5,2002-04-06,2002.0,4.0,14.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.4551235777621594,0.9982437317643216,13.0,-0.0,-0.0,8.0,10.0,-0.0,-0.0,-0.0,0.0,7.0,9.0,6.0,0
6,6,2002-04-07,2002.0,4.0,14.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,13.0,-0.0,0.0,7.0,10.0,0.0,0.0,0.0,-0.0,4.0,10.0,7.0,0
5,5,2002-04-06,2002.0,4.0,14.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.4551235777621594,0.9982437317643216,13.0,-0.0,-0.0,8.0,10.0,-0.0,-0.0,-0.0,0.0,7.0,9.0,6.0,1
6,6,2002-04-07,2002.0,4.0,14.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,13.0,-0.0,0.0,7.0,10.0,0.0,0.0,0.0,-0.0,4.0,10.0,7.0,1
7,7,2002-04-08,2002.0,4.0,15.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.3964807197586971,0.9894932136984008,13.0,0.0,-0.0,18.0,12.0,-0.0,0.0,-0.0,0.0,12.0,7.0,7.0,1
