,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2000-09-16,2000.0,9.0,37.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3392848765765305,0.026128716105487115,17.0,-0.0,0.0,17.0,7.0,0.0,-0.0,0.0,-0.0,15.0,4.0,7.0,0
1,1,2000-09-17,2000.0,9.0,37.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.33928487657653045,0.026128716105487115,14.0,0.0,0.0,18.0,8.0,0.0,-0.0,-0.0,0.0,15.0,6.0,6.0,0
0,0,2000-09-16,2000.0,9.0,37.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3392848765765305,0.026128716105487115,17.0,-0.0,0.0,17.0,7.0,0.0,-0.0,0.0,-0.0,15.0,4.0,7.0,1
1,1,2000-09-17,2000.0,9.0,37.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.33928487657653045,0.026128716105487115,14.0,0.0,0.0,18.0,8.0,0.0,-0.0,-0.0,0.0,15.0,6.0,6.0,1
2,2,2000-09-18,2000.0,9.0,38.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,15.0,0.0,0.0,14.0,10.0,0.0,-0.0,-0.0,0.0,12.0,8.0,6.0,1
3,3,2000-09-19,2000.0,9.0,38.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3964807197586971,0.010506786301598792,14.0,0.0,0.0,19.0,10.0,0.0,-0.0,0.0,0.0,15.0,1.0,6.0,1
4,4,2000-09-20,2000.0,9.0,38.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,11.0,-0.0,-0.0,17.0,9.0,0.0,-0.0,-0.0,-0.0,13.0,1.0,6.0,1
5,5,2000-09-21,2000.0,9.0,38.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,10.0,0.0,0.0,18.0,8.0,-0.0,0.0,0.0,-0.0,13.0,1.0,6.0,1
6,6,2000-09-22,2000.0,9.0,38.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3964807197586971,0.010506786301598792,11.0,-0.0,-0.0,18.0,9.0,0.0,0.0,-0.0,0.0,13.0,1.0,7.0,1
7,7,2000-09-23,2000.0,9.0,38.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,11.0,1.0,-0.0,19.0,9.0,-0.0,-0.0,0.0,-0.0,13.0,1.0,6.0,1
8,8,2000-09-24,2000.0,9.0,38.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3964807197586971,0.010506786301598792,11.0,-0.0,0.0,17.0,11.0,-0.0,-0.0,0.0,-0.0,11.0,1.0,6.0,1
7,7,2000-09-23,2000.0,9.0,38.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,11.0,1.0,-0.0,19.0,9.0,-0.0,-0.0,0.0,-0.0,13.0,1.0,6.0,2
8,8,2000-09-24,2000.0,9.0,38.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.3964807197586971,0.010506786301598792,11.0,-0.0,0.0,17.0,11.0,-0.0,-0.0,0.0,-0.0,11.0,1.0,6.0,2
9,9,2000-09-25,2000.0,9.0,39.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.4551235777621591,0.001756268235678593,11.0,0.0,-0.0,18.0,10.0,0.0,0.0,0.0,0.0,13.0,4.0,6.0,2
10,10,2000-09-26,2000.0,9.0,39.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.455123577762159,0.001756268235678593,12.0,0.0,-0.0,19.0,7.0,0.0,-0.0,-0.0,0.0,11.0,5.0,6.0,2
11,11,2000-09-27,2000.0,9.0,39.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.455123577762159,0.001756268235678593,11.0,-0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,2
12,12,2000-09-28,2000.0,9.0,39.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.4551235777621591,0.001756268235678593,10.0,-0.0,-0.0,15.0,8.0,-0.0,-0.0,0.0,0.0,8.0,3.0,6.0,2
13,13,2000-09-29,2000.0,9.0,39.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.4551235777621591,0.001756268235678593,11.0,-0.0,-0.0,16.0,9.0,0.0,0.0,0.0,-0.0,6.0,5.0,6.0,2
14,14,2000-09-30,2000.0,9.0,39.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.455123577762159,0.001756268235678593,10.0,-0.0,0.0,15.0,9.0,-0.0,-0.0,-0.0,-0.0,8.0,2.0,6.0,2
15,15,2000-10-01,2000.0,10.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.4551235777621591,0.001756268235678593,8.0,-0.0,-0.0,15.0,10.0,-0.0,-0.0,0.0,-0.0,8.0,1.0,6.0,2
