,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2000-06-10,2000.0,6.0,23.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.04158557497284522,0.7016502720814761,16.0,-0.0,0.0,15.0,5.0,0.0,-0.0,0.0,-0.0,12.0,1.0,6.0,0
1,1,2000-06-11,2000.0,6.0,23.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.04158557497284522,0.701650272081476,12.0,0.0,0.0,16.0,5.0,0.0,0.0,-0.0,-0.0,10.0,-0.0,6.0,0
0,0,2000-06-10,2000.0,6.0,23.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.04158557497284522,0.7016502720814761,16.0,-0.0,0.0,15.0,5.0,0.0,-0.0,0.0,-0.0,12.0,1.0,6.0,1
1,1,2000-06-11,2000.0,6.0,23.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.04158557497284522,0.701650272081476,12.0,0.0,0.0,16.0,5.0,0.0,0.0,-0.0,-0.0,10.0,-0.0,6.0,1
2,2,2000-06-12,2000.0,6.0,24.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,12.0,-0.0,0.0,16.0,1.0,-0.0,0.0,-0.0,-0.0,15.0,2.0,6.0,1
3,3,2000-06-13,2000.0,6.0,24.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,14.0,-0.0,-0.0,15.0,1.0,0.0,-0.0,-0.0,0.0,12.0,9.0,7.0,1
4,4,2000-06-14,2000.0,6.0,24.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,14.0,0.0,0.0,12.0,1.0,0.0,-0.0,0.0,0.0,10.0,6.0,7.0,1
5,5,2000-06-15,2000.0,6.0,24.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,15.0,-0.0,-0.0,11.0,1.0,-0.0,0.0,0.0,0.0,14.0,6.0,7.0,1
6,6,2000-06-16,2000.0,6.0,24.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,14.0,-0.0,-0.0,11.0,0.0,-0.0,0.0,0.0,-0.0,7.0,4.0,7.0,1
7,7,2000-06-17,2000.0,6.0,24.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,6.0,1
8,8,2000-06-18,2000.0,6.0,24.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,17.0,-0.0,0.0,10.0,2.0,-0.0,0.0,0.0,-0.0,5.0,8.0,6.0,1
7,7,2000-06-17,2000.0,6.0,24.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,6.0,2
8,8,2000-06-18,2000.0,6.0,24.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,17.0,-0.0,0.0,10.0,2.0,-0.0,0.0,0.0,-0.0,5.0,8.0,6.0,2
9,9,2000-06-19,2000.0,6.0,25.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,17.0,-0.0,0.0,9.0,3.0,-0.0,0.0,-0.0,-0.0,8.0,6.0,6.0,2
10,10,2000-06-20,2000.0,6.0,25.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,16.0,0.0,0.0,10.0,4.0,0.0,0.0,-0.0,-0.0,8.0,10.0,6.0,2
11,11,2000-06-21,2000.0,6.0,25.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,18.0,-0.0,-0.0,9.0,3.0,0.0,-0.0,0.0,0.0,8.0,3.0,6.0,2
12,12,2000-06-22,2000.0,6.0,25.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,15.0,0.0,0.0,11.0,5.0,0.0,0.0,-0.0,-0.0,6.0,3.0,5.0,2
13,13,2000-06-23,2000.0,6.0,25.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,15.0,-0.0,0.0,13.0,1.0,-0.0,0.0,0.0,0.0,6.0,14.0,6.0,2
14,14,2000-06-24,2000.0,6.0,25.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,15.0,0.0,-0.0,6.0,3.0,-0.0,-0.0,0.0,-0.0,9.0,9.0,7.0,2
15,15,2000-06-25,2000.0,6.0,25.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,14.0,-0.0,-0.0,7.0,1.0,-0.0,0.0,0.0,0.0,8.0,19.0,7.0,2
14,14,2000-06-24,2000.0,6.0,25.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,15.0,0.0,-0.0,6.0,3.0,-0.0,-0.0,0.0,-0.0,9.0,9.0,7.0,3
15,15,2000-06-25,2000.0,6.0,25.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0070127350302517395,0.5884839965021063,14.0,-0.0,-0.0,7.0,1.0,-0.0,0.0,0.0,0.0,8.0,19.0,7.0,3
16,16,2000-06-26,2000.0,6.0,26.0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.5296333278225596,15.0,-0.0,0.0,5.0,4.0,-0.0,-0.0,0.0,-0.0,9.0,11.0,8.0,3
17,17,2000-06-27,2000.0,6.0,26.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.5296333278225596,15.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,13.0,8.0,3
18,18,2000-06-28,2000.0,6.0,26.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.5296333278225596,16.0,-0.0,-0.0,4.0,4.0,-0.0,-0.0,0.0,0.0,8.0,8.0,9.0,3
19,19,2000-06-29,2000.0,6.0,26.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.5296333278225596,14.0,0.0,-0.0,2.0,1.0,0.0,-0.0,-0.0,-0.0,8.0,20.0,8.0,3
20,20,2000-06-30,2000.0,6.0,26.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.5296333278225597,14.0,0.0,0.0,4.0,1.0,-0.0,0.0,-0.0,0.0,5.0,5.0,8.0,3
21,21,2001-04-01,2001.0,4.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.5143902334072789,0.9999999999999998,18.0,0.0,0.0,7.0,0.0,-0.0,-0.0,-0.0,-0.0,8.0,1.0,8.0,4
20,20,2000-06-30,2000.0,6.0,26.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.5296333278225597,14.0,0.0,0.0,4.0,1.0,-0.0,0.0,-0.0,0.0,5.0,5.0,8.0,5
21,21,2001-04-01,2001.0,4.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.5143902334072789,0.9999999999999998,18.0,0.0,0.0,7.0,0.0,-0.0,-0.0,-0.0,-0.0,8.0,1.0,8.0,5
22,22,2001-04-02,2001.0,4.0,14.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,17.0,0.0,-0.0,8.0,-0.0,-0.0,0.0,0.0,-0.0,8.0,3.0,7.0,5
23,23,2001-04-03,2001.0,4.0,14.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.4551235777621594,0.9982437317643216,15.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,5
24,24,2001-04-04,2001.0,4.0,14.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.4551235777621594,0.9982437317643216,9.0,0.0,0.0,7.0,3.0,-0.0,-0.0,-0.0,0.0,8.0,2.0,8.0,5
