,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2008-01-01,2008.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,0.0,11.0,19.0,0.0,-0.0,-0.0,-0.0,8.0,1.0,1.0,0
1,1,2008-01-02,2008.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3.0,-0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0
2,2,2008-01-03,2008.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,-0.0,18.0,17.0,-0.0,0.0,0.0,-0.0,8.0,8.0,3.0,0
3,3,2008-01-04,2008.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3.0,-0.0,-0.0,18.0,16.0,0.0,0.0,-0.0,0.0,6.0,5.0,2.0,0
4,4,2008-01-05,2008.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,-0.0,8.0,16.0,-0.0,0.0,0.0,-0.0,8.0,12.0,3.0,0
5,5,2008-01-06,2008.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,7.0,0.0,-0.0,16.0,18.0,0.0,-0.0,0.0,-0.0,3.0,7.0,3.0,0
4,4,2008-01-05,2008.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,-0.0,8.0,16.0,-0.0,0.0,0.0,-0.0,8.0,12.0,3.0,1
5,5,2008-01-06,2008.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,7.0,0.0,-0.0,16.0,18.0,0.0,-0.0,0.0,-0.0,3.0,7.0,3.0,1
6,6,2008-01-07,2008.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,8.0,-0.0,0.0,16.0,19.0,0.0,0.0,0.0,-0.0,3.0,1.0,2.0,1
7,7,2008-01-08,2008.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,8.0,0.0,-0.0,14.0,16.0,-0.0,0.0,0.0,-0.0,6.0,1.0,3.0,1
8,8,2008-01-09,2008.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,8.0,-0.0,0.0,17.0,15.0,0.0,-0.0,-0.0,0.0,8.0,1.0,2.0,1
9,9,2008-01-10,2008.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,10.0,-0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1
10,10,2008-01-11,2008.0,1.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,8.0,0.0,-0.0,18.0,16.0,-0.0,-0.0,-0.0,-0.0,3.0,1.0,1.0,1
11,11,2008-01-12,2008.0,1.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,6.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1
12,12,2008-01-13,2008.0,1.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,0.0,0.0,17.0,19.0,-0.0,0.0,0.0,0.0,8.0,1.0,1.0,1
11,11,2008-01-12,2008.0,1.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,6.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2
12,12,2008-01-13,2008.0,1.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,0.0,0.0,17.0,19.0,-0.0,0.0,0.0,0.0,8.0,1.0,1.0,2
13,13,2008-01-14,2008.0,1.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,5.0,-0.0,0.0,7.0,19.0,0.0,-0.0,-0.0,-0.0,8.0,1.0,1.0,2
14,14,2008-01-15,2008.0,1.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,5.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,-0.0,3.0,8.0,3.0,2
15,15,2008-01-16,2008.0,1.0,3.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,6.0,-0.0,0.0,16.0,18.0,0.0,-0.0,-0.0,-0.0,8.0,8.0,3.0,2
16,16,2008-01-17,2008.0,1.0,3.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,7.0,0.0,0.0,15.0,16.0,0.0,-0.0,0.0,0.0,8.0,10.0,2.0,2
17,17,2008-01-18,2008.0,1.0,3.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,9.0,-0.0,0.0,8.0,18.0,0.0,-0.0,0.0,-0.0,8.0,14.0,2.0,2
18,18,2008-01-19,2008.0,1.0,3.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,7.0,0.0,-0.0,9.0,18.0,-0.0,-0.0,-0.0,0.0,8.0,12.0,1.0,2
19,19,2008-01-20,2008.0,1.0,3.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,8.0,0.0,-0.0,8.0,19.0,-0.0,0.0,-0.0,0.0,3.0,1.0,1.0,2
18,18,2008-01-19,2008.0,1.0,3.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,7.0,0.0,-0.0,9.0,18.0,-0.0,-0.0,-0.0,0.0,8.0,12.0,1.0,3
