,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2006-02-01,2006.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,8.0,0.0,0.0,19.0,19.0,0.0,0.0,-0.0,-0.0,3.0,1.0,1.0,0
1,1,2006-02-02,2006.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,5.0,0.0,0.0,19.0,18.0,0.0,0.0,0.0,-0.0,3.0,1.0,1.0,0
2,2,2006-02-03,2006.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,6.0,-0.0,-0.0,18.0,19.0,0.0,-0.0,0.0,-0.0,6.0,1.0,1.0,0
3,3,2006-02-04,2006.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,5.0,0.0,0.0,19.0,17.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0
4,4,2006-02-05,2006.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,8.0,0.0,0.0,19.0,18.0,-0.0,0.0,-0.0,-0.0,3.0,10.0,2.0,0
3,3,2006-02-04,2006.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,5.0,0.0,0.0,19.0,17.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1
4,4,2006-02-05,2006.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.91462787454903,0.7794461054290902,8.0,0.0,0.0,19.0,18.0,-0.0,0.0,-0.0,-0.0,3.0,10.0,2.0,1
5,5,2006-02-06,2006.0,2.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,9.0,-0.0,0.0,19.0,19.0,0.0,-0.0,-0.0,-0.0,3.0,6.0,2.0,1
6,6,2006-02-07,2006.0,2.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,9.0,-0.0,-0.0,16.0,19.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1
7,7,2006-02-08,2006.0,2.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,9.0,0.0,-0.0,15.0,17.0,-0.0,0.0,-0.0,0.0,3.0,1.0,3.0,1
