,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2006-01-01,2006.0,1.0,52.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.4408374324996249,6.0,-0.0,-0.0,18.0,18.0,0.0,-0.0,0.0,0.0,3.0,4.0,1.0,0
1,1,2006-01-02,2006.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,6.0,-0.0,0.0,19.0,19.0,0.0,0.0,-0.0,0.0,3.0,1.0,1.0,0
2,2,2006-01-03,2006.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3.0,-0.0,-0.0,19.0,19.0,0.0,-0.0,0.0,-0.0,0.0,4.0,0.0,0
3,3,2006-01-04,2006.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3.0,-0.0,0.0,16.0,19.0,-0.0,0.0,0.0,0.0,3.0,1.0,1.0,0
4,4,2006-01-05,2006.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3.0,-0.0,-0.0,16.0,18.0,-0.0,-0.0,0.0,-0.0,3.0,1.0,1.0,0
5,5,2006-01-06,2006.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,-0.0,0.0,17.0,19.0,0.0,-0.0,-0.0,-0.0,3.0,1.0,1.0,0
6,6,2006-01-08,2006.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,-0.0,-0.0,19.0,19.0,0.0,-0.0,0.0,-0.0,3.0,1.0,0.0,0
5,5,2006-01-06,2006.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,-0.0,0.0,17.0,19.0,0.0,-0.0,-0.0,-0.0,3.0,1.0,1.0,1
6,6,2006-01-08,2006.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,-0.0,-0.0,19.0,19.0,0.0,-0.0,0.0,-0.0,3.0,1.0,0.0,1
7,7,2006-01-09,2006.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,3.0,-0.0,-0.0,19.0,18.0,-0.0,0.0,-0.0,0.0,3.0,1.0,0.0,1
8,8,2006-01-10,2006.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,-0.0,0.0,17.0,18.0,0.0,-0.0,-0.0,0.0,8.0,1.0,-0.0,1
9,9,2006-01-11,2006.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,0.0,-0.0,18.0,19.0,-0.0,0.0,-0.0,0.0,3.0,1.0,0.0,1
10,10,2006-01-12,2006.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,-0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,3.0,1.0,-0.0,1
11,11,2006-01-13,2006.0,1.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,-0.0,-0.0,10.0,19.0,0.0,-0.0,-0.0,0.0,3.0,1.0,0.0,1
12,12,2006-01-14,2006.0,1.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,5.0,-0.0,-0.0,8.0,19.0,-0.0,-0.0,0.0,0.0,3.0,1.0,-0.0,1
13,13,2006-01-15,2006.0,1.0,2.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,3.0,-0.0,0.0,13.0,16.0,0.0,-0.0,-0.0,0.0,3.0,2.0,0.0,1
12,12,2006-01-14,2006.0,1.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,5.0,-0.0,-0.0,8.0,19.0,-0.0,-0.0,0.0,0.0,3.0,1.0,-0.0,2
13,13,2006-01-15,2006.0,1.0,2.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,3.0,-0.0,0.0,13.0,16.0,0.0,-0.0,-0.0,0.0,3.0,2.0,0.0,2
14,14,2006-01-16,2006.0,1.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,4.0,0.0,-0.0,13.0,18.0,-0.0,0.0,0.0,-0.0,3.0,7.0,0.0,2
15,15,2006-01-17,2006.0,1.0,3.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,3.0,0.0,0.0,16.0,18.0,-0.0,0.0,0.0,0.0,3.0,14.0,0.0,2
16,16,2006-01-18,2006.0,1.0,3.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,4.0,-0.0,-0.0,15.0,18.0,0.0,0.0,0.0,0.0,3.0,7.0,-0.0,2
17,17,2006-01-19,2006.0,1.0,3.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,4.0,0.0,-0.0,15.0,16.0,0.0,-0.0,-0.0,0.0,3.0,7.0,1.0,2
18,18,2006-01-20,2006.0,1.0,3.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,6.0,0.0,-0.0,16.0,19.0,-0.0,-0.0,0.0,0.0,3.0,14.0,0.0,2
19,19,2006-01-21,2006.0,1.0,3.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,7.0,-0.0,-0.0,13.0,19.0,-0.0,-0.0,0.0,0.0,8.0,1.0,-0.0,2
20,20,2006-01-22,2006.0,1.0,3.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,11.0,0.0,-0.0,16.0,19.0,-0.0,-0.0,-0.0,-0.0,8.0,1.0,1.0,2
19,19,2006-01-21,2006.0,1.0,3.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,7.0,-0.0,-0.0,13.0,19.0,-0.0,-0.0,0.0,0.0,8.0,1.0,-0.0,3
20,20,2006-01-22,2006.0,1.0,3.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,11.0,0.0,-0.0,16.0,19.0,-0.0,-0.0,-0.0,-0.0,8.0,1.0,1.0,3
21,21,2006-01-23,2006.0,1.0,4.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9447800549796659,0.7284149301950444,6.0,-0.0,-0.0,16.0,19.0,-0.0,-0.0,-0.0,-0.0,8.0,1.0,1.0,3
22,22,2006-01-24,2006.0,1.0,4.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9447800549796659,0.7284149301950444,4.0,0.0,-0.0,17.0,19.0,-0.0,0.0,-0.0,-0.0,8.0,1.0,1.0,3
23,23,2006-01-25,2006.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9447800549796659,0.7284149301950444,2.0,0.0,-0.0,16.0,18.0,-0.0,-0.0,0.0,-0.0,3.0,1.0,-0.0,3
