,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2004-07-01,2004.0,7.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,17.0,0.0,-0.0,10.0,1.0,0.0,-0.0,-0.0,-0.0,8.0,7.0,8.0,0
1,1,2004-07-02,2004.0,7.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,17.0,0.0,-0.0,8.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,8.0,0
2,2,2004-07-03,2004.0,7.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,17.0,-0.0,-0.0,13.0,1.0,-0.0,-0.0,-0.0,0.0,8.0,1.0,6.0,0
3,3,2004-07-04,2004.0,7.0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,17.0,0.0,0.0,16.0,2.0,-0.0,0.0,-0.0,0.0,8.0,2.0,6.0,0
2,2,2004-07-03,2004.0,7.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,17.0,-0.0,-0.0,13.0,1.0,-0.0,-0.0,-0.0,0.0,8.0,1.0,6.0,1
3,3,2004-07-04,2004.0,7.0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,17.0,0.0,0.0,16.0,2.0,-0.0,0.0,-0.0,0.0,8.0,2.0,6.0,1
4,4,2004-07-05,2004.0,7.0,28.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,17.0,0.0,-0.0,18.0,1.0,0.0,0.0,-0.0,-0.0,8.0,2.0,6.0,1
5,5,2004-07-06,2004.0,7.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,17.0,-0.0,0.0,18.0,1.0,-0.0,-0.0,-0.0,-0.0,8.0,4.0,6.0,1
6,6,2004-07-07,2004.0,7.0,28.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,16.0,0.0,0.0,16.0,2.0,-0.0,-0.0,-0.0,0.0,8.0,13.0,7.0,1
7,7,2004-07-08,2004.0,7.0,28.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19.0,0.0,-0.0,16.0,1.0,-0.0,0.0,0.0,0.0,8.0,2.0,6.0,1
