,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2004-04-01,2004.0,4.0,14.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,3.0,-0.0,-0.0,1.0,12.0,-0.0,0.0,-0.0,-0.0,17.0,3.0,9.0,0
1,1,2004-04-02,2004.0,4.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922192,0.4551235777621594,0.9982437317643212,9.0,-0.0,0.0,4.0,8.0,0.0,0.0,0.0,-0.0,14.0,-0.0,9.0,0
2,2,2004-04-03,2004.0,4.0,14.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,9.0,0.0,0.0,1.0,10.0,-0.0,-0.0,-0.0,-0.0,18.0,5.0,9.0,0
3,3,2004-04-04,2004.0,4.0,14.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922192,0.4551235777621594,0.9982437317643212,13.0,0.0,-0.0,1.0,12.0,-0.0,-0.0,0.0,0.0,18.0,6.0,9.0,0
2,2,2004-04-03,2004.0,4.0,14.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.4551235777621594,0.9982437317643214,9.0,0.0,0.0,1.0,10.0,-0.0,-0.0,-0.0,-0.0,18.0,5.0,9.0,1
3,3,2004-04-04,2004.0,4.0,14.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922192,0.4551235777621594,0.9982437317643212,13.0,0.0,-0.0,1.0,12.0,-0.0,-0.0,0.0,0.0,18.0,6.0,9.0,1
4,4,2004-04-05,2004.0,4.0,15.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.3964807197586971,0.9894932136984008,12.0,-0.0,0.0,0.0,10.0,0.0,0.0,-0.0,-0.0,17.0,9.0,9.0,1
5,5,2004-04-06,2004.0,4.0,15.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922192,0.3964807197586972,0.9894932136984012,10.0,-0.0,0.0,1.0,11.0,1.0,0.0,0.0,-0.0,18.0,12.0,9.0,1
6,6,2004-04-07,2004.0,4.0,15.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.3964807197586971,0.9894932136984008,10.0,-0.0,0.0,1.0,8.0,0.0,-0.0,-0.0,-0.0,9.0,3.0,9.0,1
7,7,2004-04-08,2004.0,4.0,15.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922194,0.3964807197586972,0.9894932136984012,5.0,-0.0,0.0,4.0,8.0,0.0,0.0,0.0,-0.0,18.0,1.0,9.0,1
8,8,2004-04-09,2004.0,4.0,15.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.3964807197586971,0.9894932136984008,3.0,0.0,0.0,1.0,4.0,-0.0,0.0,-0.0,0.0,8.0,4.0,7.0,1
9,9,2004-04-10,2004.0,4.0,15.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922192,0.3964807197586972,0.9894932136984008,5.0,-0.0,0.0,1.0,3.0,0.0,0.0,-0.0,0.0,12.0,7.0,8.0,1
10,10,2004-04-11,2004.0,4.0,15.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922196,0.3964807197586971,0.9894932136984008,-0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,12.0,5.0,8.0,1
9,9,2004-04-10,2004.0,4.0,15.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2500000000000001,0.9330127018922192,0.3964807197586972,0.9894932136984008,5.0,-0.0,0.0,1.0,3.0,0.0,0.0,-0.0,0.0,12.0,7.0,8.0,2
