,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2002-07-01,2002.0,7.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15.0,-0.0,0.0,8.0,2.0,-0.0,-0.0,-0.0,0.0,15.0,6.0,9.0,0
1,1,2002-07-02,2002.0,7.0,27.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15.0,-0.0,-0.0,8.0,1.0,0.0,-0.0,-0.0,-0.0,16.0,1.0,8.0,0
2,2,2002-07-03,2002.0,7.0,27.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,16.0,0.0,0.0,7.0,3.0,-0.0,-0.0,-0.0,-0.0,15.0,4.0,8.0,0
3,3,2002-07-04,2002.0,7.0,27.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,14.0,-0.0,-0.0,6.0,0.0,-0.0,-0.0,0.0,0.0,9.0,1.0,8.0,0
4,4,2002-07-05,2002.0,7.0,27.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,14.0,-0.0,-0.0,8.0,2.0,0.0,0.0,0.0,-0.0,14.0,1.0,7.0,0
5,5,2002-07-06,2002.0,7.0,27.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,16.0,-0.0,-0.0,9.0,2.0,0.0,-0.0,0.0,-0.0,19.0,1.0,8.0,0
6,6,2002-07-07,2002.0,7.0,27.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,16.0,0.0,0.0,8.0,-0.0,0.0,0.0,0.0,0.0,17.0,1.0,7.0,0
5,5,2002-07-06,2002.0,7.0,27.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,16.0,-0.0,-0.0,9.0,2.0,0.0,-0.0,0.0,-0.0,19.0,1.0,8.0,1
6,6,2002-07-07,2002.0,7.0,27.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,16.0,0.0,0.0,8.0,-0.0,0.0,0.0,0.0,0.0,17.0,1.0,7.0,1
7,7,2002-07-08,2002.0,7.0,28.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,15.0,0.0,0.0,7.0,2.0,-0.0,0.0,-0.0,0.0,4.0,1.0,7.0,1
8,8,2002-07-09,2002.0,7.0,28.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19.0,0.0,-0.0,10.0,3.0,0.0,0.0,0.0,0.0,9.0,5.0,8.0,1
9,9,2002-07-10,2002.0,7.0,28.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19.0,-0.0,-0.0,12.0,3.0,-0.0,-0.0,-0.0,0.0,8.0,6.0,8.0,1
10,10,2002-07-11,2002.0,7.0,28.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19.0,0.0,-0.0,12.0,3.0,-0.0,0.0,0.0,-0.0,9.0,8.0,8.0,1
11,11,2002-07-12,2002.0,7.0,28.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,18.0,-0.0,-0.0,14.0,4.0,0.0,-0.0,0.0,-0.0,9.0,6.0,8.0,1
12,12,2002-07-13,2002.0,7.0,28.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19.0,-0.0,-0.0,21.0,1.0,0.0,0.0,1.0,0.0,11.0,7.0,7.0,1
13,13,2002-07-14,2002.0,7.0,28.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19.0,-0.0,-0.0,13.0,3.0,-0.0,-0.0,-0.0,0.0,15.0,6.0,6.0,1
12,12,2002-07-13,2002.0,7.0,28.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19.0,-0.0,-0.0,21.0,1.0,0.0,0.0,1.0,0.0,11.0,7.0,7.0,2
13,13,2002-07-14,2002.0,7.0,28.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0070127350302517395,0.4115160034978938,19.0,-0.0,-0.0,13.0,3.0,-0.0,-0.0,-0.0,0.0,15.0,6.0,6.0,2
14,14,2002-07-15,2002.0,7.0,29.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,19.0,0.0,-0.0,18.0,1.0,-0.0,0.0,-0.0,-0.0,9.0,1.0,6.0,2
15,15,2002-07-16,2002.0,7.0,29.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,19.0,-0.0,0.0,15.0,4.0,0.0,-0.0,-0.0,0.0,9.0,1.0,6.0,2
16,16,2002-07-17,2002.0,7.0,29.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,18.0,-0.0,-0.0,12.0,4.0,-0.0,0.0,0.0,0.0,12.0,1.0,6.0,2
