,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp
0,2000-01-01,2000.0,1.0,52.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.4408374324996249,6.0,1.0,-0.0,19.0,18.0,-0.0,0.0,0.0,-0.0,0.0,1.0,1.0
1,2000-01-02,2000.0,1.0,52.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.4408374324996249,6.0,1.0,0.0,19.0,16.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0
2,2000-01-03,2000.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9964874635286428,0.559162567500375,6.0,1.0,0.0,19.0,17.0,0.0,-0.0,0.0,0.0,1.0,1.0,1.0
3,2000-01-04,2000.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3.0,0.0,0.0,19.0,18.0,-0.0,0.0,-0.0,-0.0,0.0,4.0,2.0
4,2000-01-05,2000.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,-0.0,18.0,18.0,0.0,0.0,0.0,-0.0,3.0,1.0,2.0
5,2000-01-06,2000.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3.0,-0.0,0.0,19.0,19.0,0.0,0.0,0.0,-0.0,8.0,1.0,1.0
6,2000-01-07,2000.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,-0.0,19.0,18.0,0.0,0.0,-0.0,-0.0,8.0,1.0,1.0
7,2000-01-08,2000.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9964874635286428,0.559162567500375,2.0,0.0,0.0,19.0,19.0,-0.0,0.0,-0.0,0.0,3.0,1.0,1.0
8,2000-01-09,2000.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,1.0,0.0,-0.0,19.0,19.0,0.0,0.0,0.0,-0.0,3.0,1.0,2.0
9,2000-01-10,2000.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,3.0,1.0,0.0,19.0,17.0,-0.0,0.0,-0.0,0.0,3.0,4.0,2.0
10,2000-01-11,2000.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,-0.0,-0.0,18.0,16.0,0.0,-0.0,0.0,-0.0,3.0,1.0,3.0
11,2000-01-12,2000.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,3.0,-0.0,-0.0,19.0,16.0,-0.0,0.0,0.0,-0.0,8.0,1.0,3.0
12,2000-01-13,2000.0,1.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4.0,0.0,-0.0,19.0,15.0,0.0,0.0,-0.0,-0.0,3.0,8.0,2.0
13,2000-01-14,2000.0,1.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,1.0,0.0,-0.0,19.0,13.0,-0.0,-0.0,0.0,0.0,3.0,7.0,1.0
14,2000-01-15,2000.0,1.0,2.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9859991624270542,0.6174946222389921,4.0,-0.0,-0.0,19.0,16.0,0.0,-0.0,0.0,-0.0,3.0,5.0,1.0
15,2000-01-16,2000.0,1.0,2.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9859991624270542,0.6174946222389921,3.0,-0.0,0.0,17.0,18.0,-0.0,-0.0,0.0,0.0,3.0,1.0,3.0
