,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp
0,2008-09-16,2008.0,9.0,38.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.3964807197586971,0.010506786301598792,18.0,-0.0,-0.0,17.0,6.0,-0.0,-0.0,-0.0,0.0,8.0,1.0,7.0
1,2008-09-17,2008.0,9.0,38.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18.0,-0.0,-0.0,17.0,8.0,0.0,0.0,0.0,-0.0,6.0,1.0,6.0
2,2008-09-18,2008.0,9.0,38.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.3964807197586971,0.010506786301598792,19.0,-0.0,0.0,20.0,11.0,0.0,0.0,-0.0,0.0,3.0,2.0,6.0
3,2008-09-19,2008.0,9.0,38.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,19.0,-0.0,-0.0,18.0,11.0,-0.0,-0.0,-0.0,0.0,3.0,5.0,6.0
4,2008-09-20,2008.0,9.0,38.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,14.0,-0.0,0.0,19.0,11.0,1.0,0.0,0.0,-0.0,3.0,4.0,7.0
5,2008-09-21,2008.0,9.0,38.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.3964807197586971,0.010506786301598792,18.0,0.0,0.0,17.0,13.0,0.0,-0.0,-0.0,-0.0,3.0,1.0,5.0
6,2008-09-22,2008.0,9.0,39.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,16.0,0.0,-0.0,16.0,11.0,0.0,0.0,0.0,-0.0,3.0,1.0,5.0
7,2008-09-23,2008.0,9.0,39.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,15.0,0.0,0.0,17.0,16.0,0.0,0.0,-0.0,0.0,3.0,5.0,5.0
8,2008-09-24,2008.0,9.0,39.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,15.0,0.0,0.0,17.0,15.0,-0.0,-0.0,-0.0,-0.0,3.0,6.0,5.0
9,2008-09-25,2008.0,9.0,39.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.4551235777621591,0.001756268235678593,17.0,0.0,-0.0,15.0,15.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0
10,2008-09-26,2008.0,9.0,39.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,17.0,0.0,0.0,15.0,14.0,-0.0,0.0,0.0,0.0,3.0,1.0,5.0
11,2008-09-27,2008.0,9.0,39.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,15.0,0.0,-0.0,17.0,12.0,-0.0,0.0,-0.0,-0.0,5.0,1.0,5.0
12,2008-09-28,2008.0,9.0,39.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.4551235777621591,0.001756268235678593,16.0,0.0,-0.0,17.0,15.0,0.0,0.0,0.0,-0.0,8.0,2.0,5.0
13,2008-09-29,2008.0,9.0,40.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999998,0.0,0.5143902334072787,0.0,16.0,-0.0,-0.0,16.0,14.0,0.0,0.0,0.0,-0.0,8.0,1.0,5.0
14,2008-09-30,2008.0,9.0,40.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.0,0.5143902334072787,0.0,20.0,0.0,-0.0,15.0,15.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0
15,2008-10-01,2008.0,10.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,18.0,-0.0,0.0,16.0,14.0,-0.0,0.0,-0.0,0.0,8.0,1.0,6.0
16,2008-10-02,2008.0,10.0,40.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,18.0,0.0,-0.0,14.0,15.0,0.0,0.0,-0.0,-0.0,8.0,1.0,4.0
17,2008-10-03,2008.0,10.0,40.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,15.0,-0.0,0.0,16.0,12.0,0.0,-0.0,0.0,-0.0,8.0,1.0,4.0
18,2008-10-04,2008.0,10.0,40.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,16.0,-0.0,-0.0,14.0,14.0,-0.0,-0.0,0.0,-0.0,8.0,1.0,4.0
19,2008-10-05,2008.0,10.0,40.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5143902334072787,0.0,15.0,-0.0,0.0,15.0,15.0,0.0,-0.0,0.0,-0.0,3.0,3.0,4.0
20,2008-10-06,2008.0,10.0,41.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,14.0,0.0,-0.0,17.0,15.0,0.0,-0.0,0.0,0.0,3.0,1.0,3.0
21,2008-10-07,2008.0,10.0,41.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,12.0,0.0,-0.0,17.0,16.0,-0.0,0.0,0.0,0.0,3.0,5.0,3.0
22,2008-10-08,2008.0,10.0,41.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,12.0,0.0,0.0,19.0,15.0,-0.0,-0.0,-0.0,-0.0,3.0,3.0,2.0
23,2008-10-09,2008.0,10.0,41.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,12.0,-0.0,0.0,16.0,13.0,-0.0,0.0,-0.0,0.0,8.0,1.0,2.0
24,2008-10-10,2008.0,10.0,41.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,9.0,-0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0
25,2008-10-11,2008.0,10.0,41.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,10.0,-0.0,-0.0,15.0,12.0,1.0,0.0,-0.0,-0.0,8.0,1.0,2.0
26,2008-10-12,2008.0,10.0,41.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,9.0,0.0,-0.0,18.0,14.0,-0.0,0.0,0.0,-0.0,8.0,1.0,2.0
27,2008-10-13,2008.0,10.0,42.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.6314699642366818,0.01747029961799057,11.0,0.0,-0.0,15.0,15.0,0.0,-0.0,0.0,-0.0,8.0,1.0,3.0
28,2008-10-14,2008.0,10.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.6314699642366818,0.01747029961799057,10.0,0.0,-0.0,14.0,12.0,0.0,-0.0,-0.0,0.0,3.0,1.0,2.0
29,2008-10-15,2008.0,10.0,42.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.6314699642366818,0.01747029961799057,8.0,0.0,0.0,15.0,12.0,0.0,0.0,-0.0,-0.0,3.0,1.0,2.0
30,2008-10-16,2008.0,10.0,42.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.6314699642366818,0.01747029961799057,9.0,-0.0,-0.0,14.0,12.0,-0.0,-0.0,0.0,-0.0,3.0,7.0,1.0
31,2008-10-17,2008.0,10.0,42.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0669872981077807,0.6314699642366818,0.01747029961799057,8.0,0.0,-0.0,13.0,12.0,-0.0,-0.0,-0.0,-0.0,3.0,1.0,1.0
