,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp
0,2002-07-01,2002.0,7.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774403,16.0,-0.0,-0.0,9.0,0.0,-0.0,-0.0,0.0,-0.0,14.0,15.0,8.0
1,2002-07-02,2002.0,7.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774403,16.0,-0.0,-0.0,10.0,3.0,-0.0,0.0,-0.0,0.0,15.0,9.0,7.0
2,2002-07-03,2002.0,7.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774403,17.0,-0.0,-0.0,18.0,3.0,-0.0,-0.0,0.0,0.0,15.0,5.0,7.0
3,2002-07-04,2002.0,7.0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774403,16.0,0.0,-0.0,20.0,4.0,0.0,0.0,-0.0,-0.0,11.0,12.0,7.0
4,2002-07-05,2002.0,7.0,27.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774403,17.0,-0.0,-0.0,19.0,6.0,-0.0,-0.0,0.0,0.0,8.0,15.0,7.0
5,2002-07-06,2002.0,7.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774403,17.0,0.0,0.0,19.0,4.0,0.0,0.0,0.0,-0.0,12.0,17.0,7.0
6,2002-07-07,2002.0,7.0,27.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,16.0,0.0,0.0,17.0,4.0,-0.0,0.0,-0.0,0.0,11.0,17.0,6.0
7,2002-07-08,2002.0,7.0,28.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.007012735030251739,0.4115160034978938,16.0,-0.0,-0.0,20.0,5.0,-0.0,0.0,-0.0,0.0,16.0,12.0,7.0
8,2002-07-09,2002.0,7.0,28.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.007012735030251739,0.4115160034978938,18.0,0.0,0.0,17.0,5.0,-0.0,-0.0,0.0,-0.0,14.0,14.0,7.0
9,2002-07-10,2002.0,7.0,28.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.007012735030251739,0.4115160034978938,19.0,0.0,-0.0,16.0,4.0,-0.0,0.0,0.0,-0.0,12.0,8.0,7.0
10,2002-07-11,2002.0,7.0,28.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.007012735030251739,0.4115160034978938,19.0,-0.0,0.0,20.0,4.0,-0.0,-0.0,-0.0,-0.0,7.0,2.0,7.0
11,2002-07-12,2002.0,7.0,28.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.007012735030251739,0.4115160034978938,19.0,0.0,-0.0,17.0,6.0,0.0,0.0,-0.0,0.0,16.0,1.0,7.0
