,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp
0,2002-01-01,2002.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,5.0,1.0,-0.0,18.0,19.0,-0.0,0.0,-0.0,0.0,0.0,3.0,1.0
1,2002-01-02,2002.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,4.0,-0.0,0.0,19.0,19.0,0.0,-0.0,0.0,-0.0,3.0,7.0,2.0
2,2002-01-03,2002.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9964874635286429,0.559162567500375,7.0,0.0,0.0,9.0,17.0,-0.0,0.0,-0.0,0.0,3.0,7.0,2.0
3,2002-01-04,2002.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,5.0,-0.0,-0.0,15.0,16.0,0.0,-0.0,-0.0,0.0,3.0,4.0,1.0
4,2002-01-05,2002.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,5.0,0.0,0.0,17.0,17.0,-0.0,0.0,-0.0,-0.0,8.0,1.0,1.0
5,2002-01-06,2002.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,8.0,0.0,-0.0,17.0,16.0,0.0,-0.0,-0.0,0.0,8.0,1.0,2.0
6,2002-01-07,2002.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,9.0,0.0,-0.0,13.0,19.0,-0.0,0.0,0.0,-0.0,8.0,5.0,1.0
7,2002-01-08,2002.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,5.0,-0.0,0.0,12.0,19.0,-0.0,0.0,-0.0,-0.0,8.0,2.0,1.0
8,2002-01-09,2002.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,7.0,0.0,0.0,19.0,19.0,-0.0,-0.0,0.0,0.0,6.0,3.0,2.0
9,2002-01-10,2002.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,9.0,0.0,-0.0,16.0,19.0,-0.0,-0.0,-0.0,0.0,3.0,1.0,2.0
10,2002-01-11,2002.0,1.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,8.0,-0.0,-0.0,8.0,19.0,0.0,-0.0,-0.0,-0.0,8.0,1.0,3.0
11,2002-01-12,2002.0,1.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,9.0,0.0,0.0,7.0,18.0,0.0,-0.0,0.0,0.0,8.0,1.0,2.0
12,2002-01-13,2002.0,1.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,9.0,-0.0,-0.0,8.0,18.0,1.0,0.0,-0.0,-0.0,3.0,1.0,2.0
13,2002-01-14,2002.0,1.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,7.0,-0.0,-0.0,6.0,19.0,-0.0,0.0,-0.0,-0.0,6.0,1.0,2.0
14,2002-01-15,2002.0,1.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9686823294520612,0.6741773100327622,7.0,0.0,0.0,15.0,19.0,0.0,-0.0,0.0,0.0,8.0,1.0,3.0
15,2002-01-16,2002.0,1.0,3.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,5.0,-0.0,0.0,9.0,19.0,-0.0,0.0,-0.0,-0.0,9.0,3.0,2.0
16,2002-01-17,2002.0,1.0,3.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9686823294520612,0.6741773100327623,4.0,0.0,-0.0,4.0,18.0,0.0,-0.0,0.0,0.0,8.0,7.0,2.0
17,2002-01-18,2002.0,1.0,3.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,6.0,-0.0,-0.0,15.0,18.0,-0.0,-0.0,-0.0,-0.0,8.0,4.0,3.0
18,2002-01-19,2002.0,1.0,3.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,4.0,0.0,-0.0,18.0,18.0,0.0,-0.0,-0.0,0.0,3.0,5.0,2.0
19,2002-01-20,2002.0,1.0,3.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.9686823294520612,0.6741773100327622,6.0,-0.0,0.0,9.0,18.0,-0.0,0.0,0.0,0.0,3.0,8.0,1.0
20,2002-01-21,2002.0,1.0,4.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9447800549796659,0.7284149301950444,6.0,-0.0,0.0,5.0,18.0,0.0,0.0,0.0,-0.0,3.0,6.0,2.0
21,2002-01-22,2002.0,1.0,4.0,22.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.9447800549796659,0.7284149301950444,7.0,0.0,-0.0,9.0,19.0,-0.0,-0.0,0.0,0.0,8.0,1.0,2.0
22,2002-01-23,2002.0,1.0,4.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.944780054979666,0.7284149301950444,6.0,0.0,-0.0,8.0,19.0,0.0,-0.0,-0.0,-0.0,3.0,6.0,1.0
23,2002-01-24,2002.0,1.0,4.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9447800549796662,0.7284149301950444,10.0,0.0,-0.0,6.0,19.0,-0.0,-0.0,-0.0,-0.0,8.0,1.0,1.0
24,2002-01-25,2002.0,1.0,4.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.9447800549796662,0.7284149301950444,9.0,0.0,-0.0,13.0,18.0,0.0,-0.0,0.0,0.0,8.0,1.0,1.0
25,2002-01-26,2002.0,1.0,4.0,26.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.944780054979666,0.7284149301950444,9.0,0.0,-0.0,8.0,16.0,-0.0,-0.0,0.0,-0.0,8.0,1.0,1.0
26,2002-01-27,2002.0,1.0,4.0,27.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.944780054979666,0.7284149301950444,8.0,0.0,-0.0,18.0,16.0,0.0,0.0,0.0,-0.0,6.0,5.0,1.0
27,2002-01-28,2002.0,1.0,5.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.91462787454903,0.7794461054290901,5.0,0.0,-0.0,18.0,17.0,-0.0,0.0,-0.0,0.0,8.0,4.0,1.0
28,2002-01-29,2002.0,1.0,5.0,29.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922194,0.75,0.91462787454903,0.7794461054290902,1.0,-0.0,-0.0,18.0,18.0,0.0,-0.0,0.0,0.0,8.0,8.0,1.0
29,2002-01-30,2002.0,1.0,5.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922192,0.75,0.91462787454903,0.7794461054290901,1.0,0.0,0.0,13.0,16.0,-0.0,0.0,0.0,-0.0,8.0,5.0,1.0
30,2002-01-31,2002.0,1.0,5.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9330127018922196,0.75,0.91462787454903,0.7794461054290903,3.0,-0.0,0.0,11.0,19.0,0.0,-0.0,-0.0,0.0,8.0,7.0,1.0
31,2002-12-01,2002.0,12.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.91462787454903,0.2205538945709096,5.0,-0.0,-0.0,9.0,17.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0
32,2002-12-02,2002.0,12.0,49.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.9447800549796659,0.2715850698049551,3.0,-0.0,0.0,3.0,17.0,-0.0,-0.0,-0.0,0.0,8.0,1.0,1.0
33,2002-12-03,2002.0,12.0,49.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,4.0,-0.0,-0.0,8.0,15.0,-0.0,-0.0,-0.0,-0.0,8.0,1.0,1.0
34,2002-12-04,2002.0,12.0,49.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.9447800549796659,0.2715850698049551,5.0,0.0,-0.0,8.0,14.0,-0.0,-0.0,0.0,0.0,5.0,1.0,2.0
35,2002-12-05,2002.0,12.0,49.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.9447800549796659,0.2715850698049551,5.0,-0.0,0.0,8.0,16.0,-0.0,0.0,-0.0,0.0,8.0,5.0,3.0
36,2002-12-06,2002.0,12.0,49.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.9447800549796659,0.2715850698049551,5.0,0.0,0.0,8.0,15.0,0.0,0.0,-0.0,-0.0,8.0,1.0,2.0
37,2002-12-07,2002.0,12.0,49.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.9447800549796659,0.2715850698049551,5.0,-0.0,0.0,8.0,13.0,-0.0,-0.0,0.0,-0.0,8.0,1.0,1.0
38,2002-12-08,2002.0,12.0,49.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.9447800549796659,0.2715850698049551,5.0,-0.0,0.0,14.0,15.0,-0.0,-0.0,0.0,0.0,8.0,1.0,2.0
39,2002-12-09,2002.0,12.0,50.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520612,0.3258226899672376,5.0,-0.0,-0.0,5.0,17.0,-0.0,-0.0,0.0,0.0,3.0,1.0,3.0
40,2002-12-10,2002.0,12.0,50.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.9686823294520612,0.3258226899672376,3.0,0.0,0.0,8.0,16.0,0.0,0.0,-0.0,0.0,3.0,7.0,4.0
