,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2000-11-01,2000.0,11.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999997,0.7411688128691917,0.061940149008663015,14.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,0
1,1,2000-11-02,2000.0,11.0,44.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999997,0.7411688128691917,0.061940149008663015,14.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0
2,2,2000-11-03,2000.0,11.0,44.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999997,0.7411688128691918,0.061940149008663015,13.0,0.0,0.0,19.0,17.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,0
3,3,2000-11-04,2000.0,11.0,44.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999997,0.7411688128691918,0.061940149008663015,9.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0
4,4,2000-11-05,2000.0,11.0,44.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999997,0.7411688128691918,0.061940149008663015,10.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0
3,3,2000-11-04,2000.0,11.0,44.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999997,0.7411688128691918,0.061940149008663015,9.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,1
4,4,2000-11-05,2000.0,11.0,44.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999997,0.7411688128691918,0.061940149008663015,10.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1
5,5,2000-11-06,2000.0,11.0,45.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999997,0.7913064786559718,0.0935780753258168,8.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,1
6,6,2000-11-07,2000.0,11.0,45.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999998,0.7913064786559718,0.0935780753258168,8.0,0.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,1
7,7,2000-11-08,2000.0,11.0,45.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9330127018922192,0.2499999999999998,0.7913064786559718,0.0935780753258168,9.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,1
