,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2001-03-01,2001.0,3.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.7411688128691921,0.9380598509913368,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,16.0,19.0,6.0,0
1,1,2001-03-02,2001.0,3.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.7411688128691921,0.9380598509913368,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,18.0,19.0,6.0,0
2,2,2001-03-03,2001.0,3.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.7411688128691921,0.9380598509913368,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,18.0,15.0,6.0,0
3,3,2001-03-04,2001.0,3.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.7411688128691921,0.9380598509913366,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,18.0,19.0,6.0,0
2,2,2001-03-03,2001.0,3.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.7411688128691921,0.9380598509913368,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,18.0,15.0,6.0,1
3,3,2001-03-04,2001.0,3.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.7411688128691921,0.9380598509913366,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,18.0,19.0,6.0,1
4,4,2001-03-05,2001.0,3.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.687639496642055,0.9635483772396078,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,19.0,19.0,6.0,1
5,5,2001-03-06,2001.0,3.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6876394966420551,0.9635483772396078,1.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,19.0,14.0,6.0,1
6,6,2001-03-07,2001.0,3.0,10.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6876394966420551,0.9635483772396078,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,19.0,7.0,8.0,1
7,7,2001-03-08,2001.0,3.0,10.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6876394966420551,0.9635483772396078,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,1
8,8,2001-03-09,2001.0,3.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.687639496642055,0.9635483772396078,1.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,19.0,11.0,7.0,1
9,9,2001-03-10,2001.0,3.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.687639496642055,0.9635483772396078,1.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,19.0,11.0,7.0,1
10,10,2001-03-11,2001.0,3.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6876394966420551,0.9635483772396078,2.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,19.0,11.0,7.0,1
9,9,2001-03-10,2001.0,3.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.687639496642055,0.9635483772396078,1.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,19.0,11.0,7.0,2
10,10,2001-03-11,2001.0,3.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6876394966420551,0.9635483772396078,2.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,19.0,11.0,7.0,2
11,11,2001-03-12,2001.0,3.0,11.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,3.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,18.0,8.0,7.0,2
12,12,2001-03-13,2001.0,3.0,11.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,2.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,17.0,12.0,8.0,2
13,13,2001-03-14,2001.0,3.0,11.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,13.0,19.0,6.0,2
14,14,2001-03-15,2001.0,3.0,11.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,4.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,11.0,8.0,7.0,2
15,15,2001-03-16,2001.0,3.0,11.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,19.0,19.0,7.0,2
16,16,2001-03-17,2001.0,3.0,11.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,1.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,19.0,15.0,7.0,2
17,17,2001-03-18,2001.0,3.0,11.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,2.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,16.0,16.0,8.0,2
16,16,2001-03-17,2001.0,3.0,11.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,1.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,19.0,15.0,7.0,3
17,17,2001-03-18,2001.0,3.0,11.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.6314699642366817,0.9825297003820094,2.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,16.0,16.0,8.0,3
18,18,2001-03-19,2001.0,3.0,12.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5734487127629095,0.9947373642491956,3.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,14.0,10.0,8.0,3
19,19,2001-03-20,2001.0,3.0,12.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5734487127629095,0.9947373642491956,3.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,15.0,17.0,8.0,3
20,20,2001-03-21,2001.0,3.0,12.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5734487127629095,0.9947373642491952,4.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,9.0,13.0,6.0,3
