,Unnamed: 0,datetime,year,month,week,day,night,morning,noon,evening,season_summer,season_winter,season_spring,season_monsoon,season_autumn,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _fog, _hail, _hum_bars, _pressurem_bars, _rain, _snow, _thunder, _tornado, _vism_bars, _wspdm_bars,Temp,sequence
0,0,2000-07-01,2000.0,7.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225597,15.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,13.0,12.0,8.0,0
1,1,2000-07-02,2000.0,7.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225597,16.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,11.0,6.0,7.0,0
0,0,2000-07-01,2000.0,7.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225597,15.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,13.0,12.0,8.0,1
1,1,2000-07-02,2000.0,7.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225597,16.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,11.0,6.0,7.0,1
2,2,2000-07-03,2000.0,7.0,27.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,14.0,7.0,9.0,1
3,3,2000-07-04,2000.0,7.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,18.0,5.0,9.0,1
4,4,2000-07-05,2000.0,7.0,27.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,16.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,18.0,4.0,10.0,1
5,5,2000-07-06,2000.0,7.0,27.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,10.0,1
6,6,2000-07-07,2000.0,7.0,27.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,14.0,13.0,9.0,1
7,7,2000-07-08,2000.0,7.0,27.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,14.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,14.0,16.0,8.0,1
