,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,Temp
0,2000-01-01,Fog,0.451219512195122,1.0,0.0,0.9375000000000002,0.3208955223880601,0.0,0.0,13.5,0.0,0.0,0.006388888888888889,0.0,2000.0,1.0,52.0,1.0,14.5,0.0,0.0,1.0,0.0,2.0
3,2000-01-02,Fog,0.4024390243902439,1.0,0.0,0.9687500000000001,0.3208955223880601,0.0,0.0,11.0,0.0,0.0,0.008333333333333333,0.07567567567567568,2000.0,1.0,52.0,2.0,14.0,0.0,0.0,1.0,0.0,1.0
6,2000-01-03,Fog,0.36585365853658536,1.0,0.0,0.8750000000000002,0.30597014925373145,0.0,0.0,11.0,0.0,0.0,0.0033333333333333335,0.0,2000.0,1.0,1.0,3.0,15.0,0.0,0.0,1.0,0.0,1.0
9,2000-01-04,Fog,0.36585365853658536,1.0,0.0,0.8750000000000002,0.31343283582089576,0.0,0.0,11.0,0.0,0.0,0.0033333333333333335,0.15135135135135136,2000.0,1.0,1.0,4.0,15.0,0.0,0.0,1.0,0.0,1.0
12,2000-01-05,Shallow Fog,0.39024390243902446,1.0,0.0,0.8958333333333336,0.31343283582089576,0.0,0.0,11.666666666666666,0.0,0.0,0.008888888888888889,0.0,2000.0,1.0,1.0,5.0,14.0,0.0,0.0,1.0,0.0,1.0
14,2000-01-06,Partly Cloudy,0.36585365853658536,0.0,0.0,0.8125000000000002,0.30597014925373145,0.0,0.0,12.0,0.0,0.0,0.016666666666666666,0.2,2000.0,1.0,1.0,6.0,12.0,0.0,0.0,1.0,0.0,1.0
17,2000-01-07,Fog,0.3902439024390244,1.0,0.0,0.9687500000000001,0.31343283582089576,0.0,0.0,10.5,0.0,0.0,0.005,0.0,2000.0,1.0,1.0,7.0,14.5,0.0,0.0,1.0,0.0,1.0
20,2000-01-08,Mostly Cloudy,0.4634146341463415,0.0,0.0,0.8750000000000002,0.2835820895522394,0.0,0.0,15.0,0.0,0.0,0.014166666666666668,0.2513513513513514,2000.0,1.0,1.0,8.0,11.0,0.0,0.0,1.0,0.0,2.0
23,2000-01-09,Shallow Fog,0.44308943089430897,1.0,0.0,0.9479166666666666,0.27860696517412986,0.0,0.0,13.0,0.0,0.0,0.010833333333333334,0.2756756756756757,2000.0,1.0,1.0,9.0,12.5,0.0,0.0,1.0,0.0,2.0
24,2000-01-10,Mostly Cloudy,0.41463414634146345,0.0,0.0,0.8125000000000002,0.29850746268656714,0.0,0.0,14.0,0.0,0.0,0.01,0.15135135135135136,2000.0,1.0,2.0,10.0,15.0,0.0,0.0,1.0,0.0,2.0
27,2000-01-11,Smoke,0.43089430894308944,0.0,0.0,0.6579861111111112,0.2848258706467668,0.0,0.0,18.166666666666668,0.0,0.0,0.0375,0.30090090090090094,2000.0,1.0,2.0,11.0,12.5,0.0,0.0,1.0,0.0,3.0
28,2000-01-12,Haze,0.48780487804878053,0.0,0.0,0.6666666666666667,0.26119402985074647,0.0,0.0,20.0,0.0,0.0,0.04666666666666666,0.5,2000.0,1.0,2.0,12.0,10.0,0.0,0.0,1.0,0.0,4.0
32,2000-01-13,Partly Cloudy,0.5,0.0,0.0,0.9375000000000002,0.2835820895522394,0.0,0.0,15.5,0.0,0.0,0.018333333333333333,0.22567567567567567,2000.0,1.0,2.0,13.0,14.5,0.0,0.0,1.0,0.0,2.0
35,2000-01-14,Clear,0.18292682926829268,0.0,0.0,0.3125,0.2910447761194037,0.0,0.0,17.5,0.0,0.0,0.1,0.42567567567567566,2000.0,1.0,2.0,14.0,10.5,0.0,0.0,1.0,0.0,3.0
