,mse_train,mse_test,acc_train,acc_test
1_all,0.08353108912706375,0.2425595223903656,0.9171808258186995,0.7574404761904762
1_night,0.20245979726314545,0.2261904776096344,0.804635761589404,0.7738095238095238
1_morning,0.4518272280693054,0.613095223903656,0.6008542952064547,0.5297619047619048
1_noon,0.4804762005805969,0.3928571343421936,0.5757142857142857,0.6785714285714286
1_evening,0.2615092694759369,0.2738095223903656,0.745609871855719,0.7261904761904762
2_all,0.238786980509758,0.23044218122959137,0.7670370866247155,0.7708333333333334
2_night,0.36325013637542725,0.2448979616165161,0.6744556558682953,0.7551020408163265
2_morning,0.679377019405365,0.5306122303009033,0.5171858216970999,0.5102040816326531
2_noon,0.5939849615097046,0.4897959232330322,0.5456498388829216,0.5714285714285714
2_evening,0.3850698173046112,0.3877550959587097,0.6552094522019334,0.6938775510204082
3_all,0.2755715548992157,0.4293154776096344,0.7440861636051276,0.5896577380952381
3_night,0.6706932783126831,0.4345238208770752,0.5446428571428571,0.6011904761904762
3_morning,0.9296218752861023,0.9702380895614624,0.4332983193277311,0.3333333333333333
3_noon,0.7740740776062012,0.648809552192688,0.47883597883597884,0.5416666666666666
3_evening,0.7512038350105286,0.8035714030265808,0.45853397538790797,0.2857142857142857
4_all,0.4063522219657898,0.769444465637207,0.6242161941112323,0.3825396825396825
4_night,0.9674090147018433,1.0310559272766113,0.38077131993481805,0.4409937888198758
4_morning,0.9304725527763367,0.9025974273681641,0.34111895708853884,0.13636363636363635
4_noon,0.8929929137229919,1.1298701763153076,0.3916349809885932,0.33766233766233766
4_evening,0.7975730895996094,0.7453415989875793,0.4677330391616106,0.5093167701863354
5_all,0.31757381558418274,0.30926215648651123,0.7012387981022667,0.7154631083202512
5_night,0.7037427425384521,0.5892857313156128,0.4934106483921982,0.5178571428571429
5_morning,0.5392725467681885,0.1607142835855484,0.6083289404322615,0.8392857142857143
5_noon,0.6228991746902466,0.6024844646453857,0.5330882352941176,0.5217391304347826
5_evening,1.016931176185608,0.7714285850524902,0.4142857142857143,0.42142857142857143
6_all,0.28247618675231934,0.36335402727127075,0.7291111111111112,0.6801242236024845
6_night,0.550804853439331,1.3043478727340698,0.5482897384305835,0.453416149068323
6_morning,0.5132653117179871,0.5155279636383057,0.6173469387755102,0.6770186335403726
6_noon,0.6989796161651611,1.1242235898971558,0.4923469387755102,0.40372670807453415
6_evening,0.7142857313156128,0.7329192757606506,0.514489069649212,0.4472049689440994
7_all,0.20267708599567413,0.19930875301361084,0.8055259417199716,0.8076036866359447
7_night,0.40594059228897095,0.6785714030265808,0.620933521923621,0.39285714285714285
7_morning,0.460737943649292,0.3913043439388275,0.6613055818353831,0.6832298136645962
7_noon,0.4422442317008972,0.3726707994937897,0.6544082979726544,0.7329192546583851
7_evening,0.4707574248313904,0.5031055808067322,0.599712368168744,0.6086956521739131
8_all,0.22901587188243866,0.2948412597179413,0.7783174603174603,0.709920634920635
8_night,0.2487335354089737,0.4523809552192688,0.7588652482269503,0.5833333333333334
8_morning,0.45896655321121216,0.5178571343421936,0.599290780141844,0.625
8_noon,0.47349822521209717,0.5170068144798279,0.6284704694598687,0.5850340136054422
8_evening,0.35662898421287537,0.3877550959587097,0.6526207605344296,0.6122448979591837
9_all,0.20252425968647003,0.32182103395462036,0.8008844122343692,0.6864207221350078
9_night,0.45890411734580994,0.3788819909095764,0.586105675146771,0.639751552795031
9_morning,0.5383094549179077,0.7701863646507263,0.5635195254572417,0.5652173913043478
9_noon,0.4752086400985718,0.6211180090904236,0.5930289641629848,0.5527950310559007
9_evening,0.5812469124794006,0.701298713684082,0.5424644084437898,0.43506493506493504
10_all,0.2579629123210907,0.40311551094055176,0.7545162823864987,0.6466565349544073
10_night,0.5529801249504089,0.761904776096344,0.5596026490066225,0.47023809523809523
10_morning,0.6738095283508301,0.7083333134651184,0.48714285714285716,0.4523809523809524
10_noon,0.41243472695350647,0.613095223903656,0.6473659231134314,0.5952380952380952
10_evening,0.4051600694656372,0.4350649416446686,0.6464405160057334,0.564935064935065
11_all,0.26773524284362793,0.5046584010124207,0.7409190638712823,0.5811335403726708
11_night,0.5046318769454956,0.7080745100975037,0.5665529010238908,0.5031055900621118
11_morning,0.5221843123435974,1.0931676626205444,0.5631399317406144,0.4409937888198758
11_noon,0.4670892357826233,0.5962733030319214,0.5977571916138469,0.4409937888198758
11_evening,0.5738664269447327,0.7763975262641907,0.5407118478790833,0.2981366459627329
12_all,0.10720188915729523,0.4774436056613922,0.8937721369539552,0.5733082706766918
12_night,0.29137200117111206,0.5952380895614624,0.7171145685997171,0.40476190476190477
12_morning,0.592644989490509,0.9047619104385376,0.5233380480905233,0.34523809523809523
12_noon,0.43894389271736145,0.4523809552192688,0.5935879302215936,0.6011904761904762
12_evening,0.3289036452770233,0.2732919156551361,0.6810631229235881,0.7267080745341615
