,Unnamed: 0,Unnamed: 0.1,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp,sequence
0,440,8935,2006-07-01,Haze,0.6951219512195123,0.0,0.0,0.4010416666666666,0.14552238805970186,0.0,0.0,35.0,0.0,0.0,0.03333333333333333,0.05,2006.0,7.0,26.0,1.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,17,8,0,8,2,9.0,0
1,441,8939,2006-07-02,Haze,0.7560975609756098,0.0,0.0,0.4114583333333333,0.138059701492538,0.0,0.0,36.5,0.0,0.0,0.03333333333333333,0.12567567567567567,2006.0,7.0,26.0,2.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,19,8,0,8,5,9.0,0
0,440,8935,2006-07-01,Haze,0.6951219512195123,0.0,0.0,0.4010416666666666,0.14552238805970186,0.0,0.0,35.0,0.0,0.0,0.03333333333333333,0.05,2006.0,7.0,26.0,1.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,17,8,0,8,2,9.0,1
1,441,8939,2006-07-02,Haze,0.7560975609756098,0.0,0.0,0.4114583333333333,0.138059701492538,0.0,0.0,36.5,0.0,0.0,0.03333333333333333,0.12567567567567567,2006.0,7.0,26.0,2.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,19,8,0,8,5,9.0,1
2,442,8943,2006-07-03,Haze,0.7317073170731708,0.0,0.0,0.40625,0.14925373134328354,0.0,0.0,35.0,0.0,0.0,0.06666666666666668,0.15135135135135136,2006.0,7.0,27.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672646,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,18,8,0,18,6,9.0,1
3,443,8947,2006-07-04,Haze,0.7682926829268293,0.0,0.0,0.5572916666666666,0.1417910447761197,0.0,0.0,34.0,0.0,0.0,0.06666666666666668,0.2,2006.0,7.0,27.0,4.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,19,11,0,18,7,9.0,1
4,444,8951,2006-07-05,Haze,0.7317073170731708,0.0,0.0,0.4010416666666666,0.15671641791044788,0.0,0.0,36.0,0.0,0.0,0.03333333333333333,0.4,2006.0,7.0,27.0,5.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,18,8,0,8,14,9.0,1
5,445,8955,2006-07-06,Haze,0.7317073170731708,0.0,0.0,0.3697916666666666,0.15298507462686572,0.0,0.0,36.0,0.0,0.0,0.05,0.15000000000000002,2006.0,7.0,27.0,6.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07322330470336302,0.32322330470336325,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,18,7,0,13,6,9.0,1
6,446,8959,2006-07-07,Haze,0.7804878048780488,0.0,0.0,0.4583333333333333,0.13432835820895586,0.0,0.0,36.0,0.0,0.0,0.03333333333333333,0.0,2006.0,7.0,27.0,7.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672646,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,19,9,0,8,1,9.0,1
7,447,8963,2006-07-08,Haze,0.7804878048780488,0.0,0.0,0.5,0.13432835820895586,0.0,0.0,34.0,0.0,0.0,0.03333333333333333,0.0,2006.0,7.0,27.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672646,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,19,10,0,8,1,9.0,1
8,448,8967,2006-07-09,Light Drizzle,0.7804878048780488,0.0,0.0,0.8854166666666666,0.1716417910447765,1.0,0.0,28.0,0.0,0.0,0.03333333333333333,0.05135135135135136,2006.0,7.0,27.0,9.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14644660940672605,0.14644660940672646,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,19,19,2,8,2,7.0,1
