,Unnamed: 0,Unnamed: 0.1,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp,sequence
0,198,5429,2004-02-01,Clear,0.33739837398373984,0.0,0.0,0.9392361111111108,0.31343283582089576,0.0,0.0,8.666666666666666,0.0,0.0,0.03166666666666667,0.24279279279279284,2004.0,2.0,5.0,1.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4999999999999998,0.011358057903643878,0.75,0.9330127018922192,0.91462787454903,0.7794461054290903,4,19,17,8,9,0.0,0
1,199,5433,2004-02-02,Clear,0.29268292682926833,0.0,0.0,0.8645833333333334,0.3208955223880601,0.0,0.0,8.0,0.0,0.0,0.05,0.1,2004.0,2.0,6.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6294095225512601,0.017037086855465792,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,3,19,18,13,4,0.0,0
2,200,5437,2004-02-03,Haze,0.30243902439024395,0.0,0.0,0.7104166666666666,0.29850746268656714,0.0,0.0,11.2,0.0,0.0,0.06666666666666668,0.2405405405405405,2004.0,2.0,6.0,3.0,16.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.34823619097949576,0.03360975398529866,0.75,0.9330127018922192,0.8786490586790043,0.8265544698963293,3,15,16,18,9,1.0,0
3,201,5439,2004-02-04,Haze,0.3170731707317074,0.0,0.0,0.7083333333333334,0.2910447761194037,0.0,0.0,12.0,0.0,0.0,0.025000000000000005,0.050450450450450456,2004.0,2.0,6.0,4.0,18.666666666666668,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5862730150341734,0.011358057903643859,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963292,3,15,15,6,2,1.0,0
4,202,5443,2004-02-05,Smoke,0.375,0.0,0.0,0.7434895833333333,0.30597014925373145,0.0,0.0,13.75,0.0,0.0,0.0296875,0.0,2004.0,2.0,6.0,5.0,17.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4374999999999999,0.025265367954678108,0.75,0.9330127018922194,0.8786490586790042,0.8265544698963294,5,16,16,7,1,2.0,0
5,203,5447,2004-02-06,Haze,0.3414634146341464,0.0,0.0,0.6979166666666667,0.3208955223880601,0.0,0.0,13.2,0.0,0.0,0.03966666666666666,0.1908108108108108,2004.0,2.0,6.0,6.0,16.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.34823619097949576,0.03360975398529866,0.75,0.9330127018922192,0.8786490586790043,0.8265544698963293,4,15,18,10,7,2.0,0
6,204,5451,2004-02-07,Haze,0.3170731707317074,0.0,0.0,0.6614583333333334,0.3358208955223887,0.0,0.0,13.0,0.0,0.0,0.028611111111111105,0.0,2004.0,2.0,6.0,7.0,17.666666666666668,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4583333333333332,0.022522607588274013,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963293,3,14,19,7,1,2.0,0
7,205,5455,2004-02-08,Haze,0.38719512195121947,0.0,0.0,0.6093750000000001,0.32462686567164223,0.0,0.0,17.0,0.0,0.0,0.03770833333333333,0.25033783783783786,2004.0,2.0,6.0,8.0,17.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4374999999999999,0.025265367954678108,0.75,0.9330127018922194,0.8786490586790042,0.8265544698963294,6,13,18,9,9,3.0,0
6,204,5451,2004-02-07,Haze,0.3170731707317074,0.0,0.0,0.6614583333333334,0.3358208955223887,0.0,0.0,13.0,0.0,0.0,0.028611111111111105,0.0,2004.0,2.0,6.0,7.0,17.666666666666668,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4583333333333332,0.022522607588274013,0.75,0.9330127018922192,0.8786490586790042,0.8265544698963293,3,14,19,7,1,2.0,1
7,205,5455,2004-02-08,Haze,0.38719512195121947,0.0,0.0,0.6093750000000001,0.32462686567164223,0.0,0.0,17.0,0.0,0.0,0.03770833333333333,0.25033783783783786,2004.0,2.0,6.0,8.0,17.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4374999999999999,0.025265367954678108,0.75,0.9330127018922194,0.8786490586790042,0.8265544698963294,6,13,18,9,9,3.0,1
