,Unnamed: 0,Unnamed: 0.1,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp,sequence
0,246,5303,2004-01-01,Mostly Cloudy,0.3414634146341464,0.0,0.0,0.8125,0.3432835820895529,0.0,0.0,11.0,0.0,0.0,0.025,0.1,2004.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6294095225512604,0.9829629131445341,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,4,17,19,6,4,1.0,0
1,247,5307,2004-01-02,Clear,0.41463414634146345,0.0,0.0,0.8125,0.3358208955223887,0.0,0.0,14.0,0.0,0.0,0.02,0.2,2004.0,1.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3705904774487397,0.9829629131445341,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,7,17,19,4,7,2.0,0
2,248,5311,2004-01-03,Haze,0.30487804878048785,0.0,0.0,0.59375,0.3320895522388065,0.0,0.0,14.0,0.0,0.0,0.04666666666666666,0.2756756756756757,2004.0,1.0,1.0,3.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14644660940672627,0.8535533905932737,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3,12,19,12,10,2.0,0
3,249,5315,2004-01-04,Mist,0.29268292682926833,0.0,0.0,0.9270833333333334,0.36567164179104505,0.0,0.0,7.0,0.0,0.0,0.02333333333333333,0.2513513513513514,2004.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6294095225512604,0.9829629131445341,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3,19,19,5,9,0.0,0
2,248,5311,2004-01-03,Haze,0.30487804878048785,0.0,0.0,0.59375,0.3320895522388065,0.0,0.0,14.0,0.0,0.0,0.04666666666666666,0.2756756756756757,2004.0,1.0,1.0,3.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14644660940672627,0.8535533905932737,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3,12,19,12,10,2.0,1
3,249,5315,2004-01-04,Mist,0.29268292682926833,0.0,0.0,0.9270833333333334,0.36567164179104505,0.0,0.0,7.0,0.0,0.0,0.02333333333333333,0.2513513513513514,2004.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6294095225512604,0.9829629131445341,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,3,19,19,5,9,0.0,1
4,250,5319,2004-01-05,Mist,0.29268292682926833,0.0,0.0,0.796875,0.3544776119402986,0.0,0.0,9.25,0.0,0.0,0.02333333333333333,0.2756756756756757,2004.0,1.0,2.0,5.0,5.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5323523806378151,0.9872221848584006,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,3,17,19,5,10,0.0,1
5,251,5323,2004-01-06,Fog,0.3219512195121952,1.0,0.0,0.9333333333333332,0.3597014925373136,0.0,0.0,8.2,0.0,0.0,0.006022222222222222,0.1605405405405406,2004.0,1.0,2.0,6.0,5.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5258819045102521,0.9897777478867203,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4,19,19,0,6,0.0,1
6,252,5327,2004-01-07,Fog,0.3414634146341464,1.0,0.0,1.0,0.36567164179104505,0.0,0.0,8.0,0.0,0.0,0.005,0.2,2004.0,1.0,2.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6294095225512604,0.9829629131445341,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,4,19,19,0,7,0.0,1
7,253,5331,2004-01-08,Haze,0.30792682926829273,0.0,0.0,0.42578125,0.3451492537313437,0.0,0.0,19.0,0.0,0.0,0.0571875,0.4628378378378378,2004.0,1.0,2.0,8.0,7.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3167592717138664,0.9423822514075068,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,3,8,19,15,17,4.0,1
8,254,5335,2004-01-09,Haze,0.2987804878048781,0.0,0.0,0.3880208333333333,0.3330223880597021,0.0,0.0,20.0,0.0,0.0,0.06875,0.5317567567567568,2004.0,1.0,2.0,9.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3771296358569333,0.9585584417264144,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,3,7,19,19,19,4.0,1
9,255,5339,2004-01-10,Haze,0.3143631436314364,0.0,0.0,0.4016203703703704,0.33830845771144336,0.0,0.0,20.222222222222214,0.0,0.0,0.07777777777777778,0.25615615615615617,2004.0,1.0,2.0,10.0,7.222222222222222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3514981884735769,0.946891213822732,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,3,8,19,19,9,4.0,1
10,256,5343,2004-01-11,Haze,0.4,0.0,0.0,0.4666666666666666,0.31641791044776146,0.0,0.0,21.6,0.0,0.0,0.048,0.19027027027027027,2004.0,1.0,2.0,11.0,8.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2326967392524385,0.9112190196231044,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,6,9,18,12,7,4.0,1
9,255,5339,2004-01-10,Haze,0.3143631436314364,0.0,0.0,0.4016203703703704,0.33830845771144336,0.0,0.0,20.222222222222214,0.0,0.0,0.07777777777777778,0.25615615615615617,2004.0,1.0,2.0,10.0,7.222222222222222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3514981884735769,0.946891213822732,0.9330127018922196,0.75,0.9859991624270544,0.6174946222389921,3,8,19,19,9,4.0,2
10,256,5343,2004-01-11,Haze,0.4,0.0,0.0,0.4666666666666666,0.31641791044776146,0.0,0.0,21.6,0.0,0.0,0.048,0.19027027027027027,2004.0,1.0,2.0,11.0,8.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2326967392524385,0.9112190196231044,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,6,9,18,12,7,4.0,2
11,257,5347,2004-01-12,Haze,0.38109756097560976,0.0,0.0,0.4166666666666667,0.31343283582089576,0.0,0.0,22.75,0.0,0.0,0.04427083333333333,0.12533783783783786,2004.0,1.0,3.0,12.0,7.125,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.364185462032774,0.9486260278140458,0.9330127018922196,0.75,0.9686823294520612,0.6741773100327623,6,8,17,11,5,5.0,2
