,Unnamed: 0,Unnamed: 0.1,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp,sequence
0,0,0,2000-01-01,Fog,0.3685636856368564,1.0,0.0,0.9641203703703702,0.3258706467661696,0.0,0.0,9.666666666666666,0.0,0.0,0.00524485596707819,0.0,2000.0,1.0,52.0,1.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,0.9330127018922196,0.75,0.9964874635286428,0.4408374324996251,5,19,19,0,1,0.0,0
1,1,4,2000-01-02,Fog,0.3658536585365853,1.0,0.0,0.8571428571428571,0.3198294243070366,0.0,0.0,11.285714285714285,0.0,0.0,0.0066666666666666645,0.09305019305019303,2000.0,1.0,52.0,2.0,12.714285714285715,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9193578029523972,0.3876334153592152,0.9330127018922196,0.75,0.9964874635286428,0.4408374324996251,5,18,18,0,4,1.0,0
2,0,0,2000-01-01,Fog,0.3685636856368564,1.0,0.0,0.9641203703703702,0.3258706467661696,0.0,0.0,9.666666666666666,0.0,0.0,0.00524485596707819,0.0,2000.0,1.0,52.0,1.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,0.9330127018922196,0.75,0.9964874635286428,0.4408374324996251,5,19,19,0,1,0.0,1
3,1,4,2000-01-02,Fog,0.3658536585365853,1.0,0.0,0.8571428571428571,0.3198294243070366,0.0,0.0,11.285714285714285,0.0,0.0,0.0066666666666666645,0.09305019305019303,2000.0,1.0,52.0,2.0,12.714285714285715,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9193578029523972,0.3876334153592152,0.9330127018922196,0.75,0.9964874635286428,0.4408374324996251,5,18,18,0,4,1.0,1
4,2,8,2000-01-03,Fog,0.32791327913279145,1.0,0.0,0.8935185185185186,0.3167495854063021,0.0,0.0,9.111111111111107,0.0,0.0,0.005976430976430977,0.0891891891891892,2000.0,1.0,1.0,3.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,4,19,18,0,4,0.0,1
5,3,12,2000-01-04,Fog,0.3414634146341463,1.0,0.0,0.9236111111111112,0.3159203980099505,0.0,0.0,9.222222222222221,0.0,0.0,0.0031818181818181824,0.050450450450450456,2000.0,1.0,1.0,4.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,4,19,18,0,2,0.0,1
6,4,16,2000-01-05,Fog,0.32012195121951226,1.0,0.0,0.9557291666666666,0.3218283582089556,0.0,0.0,7.75,0.0,0.0,0.006363636363636363,0.08783783783783784,2000.0,1.0,1.0,5.0,9.125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8820118872644399,0.5161761903189075,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,3,19,18,0,4,0.0,1
7,5,20,2000-01-06,Fog,0.31010452961672474,1.0,0.0,0.9270833333333331,0.3123667377398723,0.0,0.0,7.857142857142858,0.0,0.0,0.007034632034632033,0.17181467181467186,2000.0,1.0,1.0,6.0,12.857142857142858,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9080064727668336,0.4024267568725399,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,3,19,17,0,6,0.0,1
8,6,24,2000-01-07,Fog,0.3170731707317074,1.0,0.0,1.0,0.30690298507462704,0.0,0.0,7.0,0.0,0.0,0.004375,0.03783783783783784,2000.0,1.0,1.0,7.0,11.625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8981880775833476,0.4558058261758406,0.9330127018922196,0.75,0.9964874635286428,0.559162567500375,3,19,17,0,2,0.0,1
9,7,28,2000-01-08,Fog,0.3902439024390244,1.0,0.0,0.9625,0.2895522388059707,0.0,0.0,10.6,0.0,0.0,0.007666666666666665,0.2210810810810811,2000.0,1.0,1.0,8.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8539058011260054,0.3534074173710929,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,6,19,15,0,8,1.0,1
10,8,32,2000-01-09,Fog,0.4065040650406505,1.0,0.0,0.9375,0.2835820895522394,0.0,0.0,11.666666666666664,0.0,0.0,0.011111111111111113,0.2846846846846847,2000.0,1.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.971991871678918,0.6264698408504201,0.9330127018922192,0.75,0.9964874635286428,0.559162567500375,7,19,14,1,10,1.0,1
11,7,28,2000-01-08,Fog,0.3902439024390244,1.0,0.0,0.9625,0.2895522388059707,0.0,0.0,10.6,0.0,0.0,0.007666666666666665,0.2210810810810811,2000.0,1.0,1.0,8.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8539058011260054,0.3534074173710929,0.9330127018922194,0.75,0.9964874635286428,0.559162567500375,6,19,15,0,8,1.0,2
12,8,32,2000-01-09,Fog,0.4065040650406505,1.0,0.0,0.9375,0.2835820895522394,0.0,0.0,11.666666666666664,0.0,0.0,0.011111111111111113,0.2846846846846847,2000.0,1.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.971991871678918,0.6264698408504201,0.9330127018922192,0.75,0.9964874635286428,0.559162567500375,7,19,14,1,10,1.0,2
13,9,36,2000-01-10,Fog,0.41463414634146345,1.0,0.0,1.0,0.2835820895522394,0.0,0.0,11.0,0.0,0.0,0.013333333333333334,0.0,2000.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,7,19,14,2,1,1.0,2
14,10,40,2000-01-11,Clear,0.41463414634146345,0.0,0.0,0.9375,0.2910447761194037,0.0,0.0,12.0,0.0,0.0,0.02,0.1,2000.0,1.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,7,19,15,4,4,1.0,2
15,11,44,2000-01-12,Light Rain,0.475609756097561,0.0,0.0,0.9375,0.2835820895522394,1.0,0.0,14.5,0.0,0.0,0.03333333333333333,0.35,2000.0,1.0,2.0,12.0,22.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9579878075183766,0.3102952387243695,0.9330127018922194,0.75,0.9859991624270544,0.6174946222389921,9,19,14,8,13,2.0,2
