,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
523,2000-09-16,Haze,0.6975609756097562,0.0,0.0,0.4479166666666667,0.22835820895522438,0.0,0.0,35.8,0.0,0.0,0.06,0.22054054054054056,2000.0,9.0,37.0,16.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.4999999999999999,0.0,0.33928487657653045,0.026128716105487115,17,9,8,16,8,9.0
527,2000-09-17,Clear,0.5365853658536586,0.0,0.0,0.2630208333333333,0.23507462686567226,0.0,0.0,36.75,0.0,0.0,0.11250000000000002,0.5628378378378378,2000.0,9.0,37.0,17.0,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3167592717138665,0.9423822514075069,0.4999999999999999,0.0,0.33928487657653045,0.026128716105487115,11,4,9,19,19,9.0
531,2000-09-18,Clear,0.5853658536585367,0.0,0.0,0.3229166666666666,0.22885572139303534,0.0,0.0,35.666666666666664,0.0,0.0,0.11666666666666665,0.43333333333333335,2000.0,9.0,38.0,18.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3821488698022421,0.9398264056274472,0.49999999999999983,0.0,0.3964807197586971,0.010506786301598792,13,6,8,19,16,9.0
535,2000-09-19,Haze,0.6097560975609757,0.0,0.0,0.40624999999999994,0.25373134328358216,0.0,0.0,33.0,0.0,0.0,0.08333333333333333,0.2513513513513514,2000.0,9.0,38.0,19.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6294095225512604,0.9829629131445341,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,14,8,11,19,9,8.0
539,2000-09-20,Smoke,0.751219512195122,0.0,0.0,0.65625,0.2597014925373138,0.0,0.0,31.6,0.0,0.0,0.033999999999999996,0.35027027027027025,2000.0,9.0,38.0,20.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,19,14,11,8,13,8.0
543,2000-09-21,Haze,0.7439024390243903,0.0,0.0,0.6197916666666666,0.2686567164179108,0.0,0.0,32.25,0.0,0.0,0.058333333333333334,0.25067567567567567,2000.0,9.0,38.0,21.0,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3167592717138665,0.9423822514075069,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18,13,12,16,9,8.0
547,2000-09-22,Haze,0.7317073170731708,0.0,0.0,0.5770833333333333,0.28208955223880655,0.0,0.0,33.0,0.0,0.0,0.08166666666666665,0.14054054054054055,2000.0,9.0,38.0,22.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18,12,14,19,5,8.0
551,2000-09-23,Haze,0.6341463414634146,0.0,0.0,0.4229166666666666,0.26716417910447793,0.0,0.0,33.8,0.0,0.0,0.06999999999999999,0.28054054054054056,2000.0,9.0,38.0,23.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,15,8,12,19,10,8.0
555,2000-09-24,Haze,0.6731707317073171,0.0,0.0,0.4604166666666666,0.2597014925373138,0.0,0.0,34.0,0.0,0.0,0.07666666666666666,0.28054054054054056,2000.0,9.0,38.0,24.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37928932188134523,0.9504983837549122,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,16,9,11,19,10,9.0
559,2000-09-25,Haze,0.6626016260162603,0.0,0.0,0.4010416666666666,0.25124378109452783,0.0,0.0,36.0,0.0,0.0,0.07916666666666665,0.20045045045045043,2000.0,9.0,39.0,25.0,7.333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3404822031355754,0.9343408848946392,0.49999999999999994,0.0,0.455123577762159,0.001756268235678593,16,8,10,19,7,9.0
