,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
522,2000-09-16,Haze,0.7777777777777777,0.0,0.0,0.8414351851851852,0.23300165837479328,0.0,0.0,28.77777777777778,0.0,0.0,0.04111111111111112,0.13408408408408412,2000.0,9.0,37.0,16.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.4999999999999999,0.0,0.3392848765765305,0.026128716105487115,19,18,8,10,5,7.0
526,2000-09-17,Haze,0.6300813008130082,0.0,0.0,0.5833333333333333,0.2313432835820901,0.0,0.0,28.333333333333332,0.0,0.0,0.049999999999999996,0.15900900900900902,2000.0,9.0,37.0,17.0,15.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8538470660372167,0.4367650795747899,0.49999999999999994,0.0,0.33928487657653045,0.026128716105487115,14,12,8,13,6,7.0
530,2000-09-18,Clear,0.5609756097560976,0.0,0.0,0.37499999999999994,0.24626865671641873,0.0,0.0,32.0,0.0,0.0,0.1,0.5513513513513514,2000.0,9.0,38.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.9330127018922193,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,12,7,10,19,19,8.0
534,2000-09-19,Haze,0.6747967479674798,0.0,0.0,0.7725694444444443,0.2487562189054732,0.0,0.0,26.333333333333332,0.0,0.0,0.05972222222222223,0.19234234234234238,2000.0,9.0,38.0,19.0,15.166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8843491830192532,0.40626296259275324,0.49999999999999994,0.0,0.3964807197586971,0.010506786301598792,16,16,10,16,7,6.0
538,2000-09-20,Haze,0.7378048780487806,0.0,0.0,0.9244791666666666,0.26305970149253755,0.0,0.0,25.5,0.0,0.0,0.0475,0.21351351351351355,2000.0,9.0,38.0,20.0,21.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8798822514075066,0.20850609624081146,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18,19,12,12,8,6.0
542,2000-09-21,Haze,0.726829268292683,0.0,0.0,0.90625,0.2716417910447765,0.0,0.0,25.4,0.0,0.0,0.05,0.23054054054054057,2000.0,9.0,38.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9138958433764683,0.34268678150290127,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18,19,13,13,9,6.0
546,2000-09-22,Haze,0.7286585365853657,0.0,0.0,0.8307291666666667,0.2789179104477616,0.0,0.0,26.875,0.0,0.0,0.050416666666666665,0.13817567567567568,2000.0,9.0,38.0,22.0,9.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.88201188726444,0.5161761903189075,0.49999999999999994,0.0,0.3964807197586971,0.010506786301598792,18,18,13,13,5,6.0
550,2000-09-23,Haze,0.7073170731707318,0.0,0.0,0.7838541666666666,0.2761194029850751,0.0,0.0,27.0,0.0,0.0,0.04375,0.10709459459459461,2000.0,9.0,38.0,23.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9423822514075069,0.6832407282861335,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,17,17,13,11,4,6.0
554,2000-09-24,Haze,0.7073170731707317,0.0,0.0,0.755952380952381,0.2590618336886999,0.0,0.0,27.571428571428573,0.0,0.0,0.04261904761904762,0.11467181467181467,2000.0,9.0,38.0,24.0,13.571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8651564425879313,0.4815129253498199,0.49999999999999994,0.0,0.3964807197586971,0.010506786301598792,17,16,11,11,4,6.0
558,2000-09-25,Haze,0.6243902439024391,0.0,0.0,0.6041666666666667,0.24776119402985125,0.0,0.0,27.6,0.0,0.0,0.05600000000000001,0.0,2000.0,9.0,39.0,25.0,13.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8539058011260053,0.4051712263915972,0.4999999999999999,0.0,0.45512357776215906,0.001756268235678593,14,12,10,15,1,6.0
562,2000-09-26,Haze,0.5799457994579945,0.0,0.0,0.6111111111111112,0.2669983416252076,0.0,0.0,25.444444444444443,0.0,0.0,0.052037037037037034,0.3211211211211211,2000.0,9.0,39.0,26.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.4999999999999999,0.0,0.455123577762159,0.001756268235678593,13,13,12,14,12,6.0
566,2000-09-27,Haze,0.5934959349593497,0.0,0.0,0.6111111111111112,0.2649253731343286,0.0,0.0,26.166666666666668,0.0,0.0,0.04666666666666667,0.19534534534534534,2000.0,9.0,39.0,27.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8782548342716713,0.504309355326331,0.49999999999999994,0.0,0.455123577762159,0.001756268235678593,13,13,12,12,7,6.0
570,2000-09-28,Clear,0.6341463414634146,0.0,0.0,0.875,0.25373134328358216,0.0,0.0,22.0,0.0,0.0,0.03333333333333333,0.0,2000.0,9.0,39.0,28.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9829629131445341,0.3705904774487392,0.4999999999999999,0.0,0.45512357776215906,0.001756268235678593,15,19,11,8,1,5.0
574,2000-09-29,Clear,0.6097560975609757,0.0,0.0,0.8229166666666666,0.2574626865671643,0.0,0.0,22.0,0.0,0.0,0.03166666666666666,0.0,2000.0,9.0,39.0,29.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.991481456572267,0.5647047612756302,0.4999999999999999,0.0,0.45512357776215906,0.001756268235678593,14,18,11,8,1,5.0
578,2000-09-30,Smoke,0.6178861788617885,0.0,0.0,0.6493055555555556,0.25290215588723086,0.0,0.0,26.444444444444443,0.0,0.0,0.034999999999999996,0.19549549549549552,2000.0,9.0,39.0,30.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.4999999999999999,0.0,0.455123577762159,0.001756268235678593,14,14,11,9,7,6.0
582,2000-10-01,Haze,0.6097560975609757,0.0,0.0,0.43749999999999994,0.2686567164179108,0.0,0.0,32.0,0.0,0.0,0.058333333333333334,0.35135135135135137,2000.0,10.0,39.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.9330127018922193,0.75,0.0669872981077807,0.45512357776215906,0.001756268235678593,14,8,12,16,13,8.0
586,2000-10-02,Haze,0.6097560975609757,0.0,0.0,0.43749999999999994,0.2835820895522394,0.0,0.0,32.0,0.0,0.0,0.058333333333333334,0.3,2000.0,10.0,40.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.9330127018922193,0.75,0.0669872981077807,0.5143902334072787,0.0,14,8,14,16,11,8.0
590,2000-10-03,Smoke,0.6612466124661247,0.0,0.0,0.7314814814814814,0.2645107794361528,0.0,0.0,26.22222222222222,0.0,0.0,0.030740740740740742,0.06126126126126127,2000.0,10.0,40.0,3.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.75,0.0669872981077807,0.5143902334072789,0.0,15,15,12,7,3,6.0
594,2000-10-04,Smoke,0.6898954703832753,0.0,0.0,0.7351190476190476,0.26119402985074647,0.0,0.0,27.571428571428573,0.0,0.0,0.029047619047619044,0.14285714285714285,2000.0,10.0,40.0,4.0,13.571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8651564425879313,0.4815129253498199,0.75,0.0669872981077807,0.5143902334072789,0.0,16,16,12,7,5,6.0
598,2000-10-05,Smoke,0.7154471544715446,0.0,0.0,0.7951388888888888,0.2669983416252076,0.0,0.0,27.22222222222222,0.0,0.0,0.03148148148148148,0.16756756756756758,2000.0,10.0,40.0,5.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.75,0.0669872981077807,0.5143902334072789,0.0,17,17,12,7,6,6.0
602,2000-10-06,Smoke,0.7127371273712737,0.0,0.0,0.7789351851851851,0.27114427860696555,0.0,0.0,27.444444444444443,0.0,0.0,0.03222222222222222,0.15045045045045047,2000.0,10.0,40.0,6.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.75,0.0669872981077807,0.5143902334072789,0.0,17,17,13,8,6,6.0
606,2000-10-07,Smoke,0.7100271002710027,0.0,0.0,0.7708333333333335,0.26285240464344967,0.0,0.0,27.444444444444443,0.0,0.0,0.03240740740740741,0.08648648648648649,2000.0,10.0,40.0,7.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.75,0.0669872981077807,0.5143902334072789,0.0,17,16,12,8,4,6.0
610,2000-10-08,Smoke,0.6802168021680216,0.0,0.0,0.7569444444444443,0.2512437810945278,0.0,0.0,26.333333333333332,0.0,0.0,0.027777777777777773,0.027927927927927927,2000.0,10.0,40.0,8.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.75,0.0669872981077807,0.5143902334072789,0.0,16,16,10,6,1,6.0
614,2000-10-09,Smoke,0.6531165311653117,0.0,0.0,0.7025462962962963,0.24461028192371537,0.0,0.0,26.666666666666668,0.0,0.0,0.026111111111111113,0.05555555555555555,2000.0,10.0,41.0,9.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8932286679177839,0.4999999999999999,0.75,0.0669872981077807,0.5734487127629091,0.005262635750804379,15,15,10,6,2,6.0
