,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
524,2000-09-16,Haze,0.7073170731707318,0.0,0.0,0.49999999999999994,0.22014925373134364,0.0,0.0,34.333333333333336,0.0,0.0,0.06736111111111111,0.20045045045045048,2000.0,9.0,37.0,16.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0524158965555365,0.4410744349011211,0.49999999999999994,0.0,0.33928487657653045,0.026128716105487115,17,10,7,18,7,9.0
528,2000-09-17,Clear,0.5528455284552846,0.0,0.0,0.2708333333333333,0.2238805970149258,0.0,0.0,37.0,0.0,0.0,0.10555555555555556,0.4837837837837838,2000.0,9.0,37.0,17.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.028008128321082182,0.6264698408504201,0.49999999999999983,0.0,0.33928487657653045,0.026128716105487115,12,5,7,19,17,10.0
532,2000-09-18,Haze,0.5609756097560976,0.0,0.0,0.3020833333333333,0.21641791044776149,0.0,0.0,35.5,0.0,0.0,0.06291666666666666,0.22567567567567567,2000.0,9.0,38.0,18.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008518543427732922,0.43529523872436987,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,12,5,7,17,8,9.0
536,2000-09-19,Haze,0.6951219512195121,0.0,0.0,0.6223958333333334,0.23694029850746334,0.0,0.0,31.0,0.0,0.0,0.0625,0.37567567567567567,2000.0,9.0,38.0,19.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.057617748592493134,0.3814640329894968,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,17,13,9,17,14,8.0
540,2000-09-20,Haze,0.7357723577235773,0.0,0.0,0.6996527777777777,0.2524875621890552,0.0,0.0,30.0,0.0,0.0,0.05777777777777778,0.37567567567567567,2000.0,9.0,38.0,20.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0524158965555365,0.4410744349011211,0.49999999999999994,0.0,0.3964807197586971,0.010506786301598792,18,15,11,15,14,7.0
544,2000-09-21,Haze,0.7398373983739838,0.0,0.0,0.6840277777777777,0.2599502487562191,0.0,0.0,30.5,0.0,0.0,0.06597222222222222,0.20045045045045048,2000.0,9.0,38.0,21.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0524158965555365,0.4410744349011211,0.49999999999999994,0.0,0.3964807197586971,0.010506786301598792,18,14,11,18,7,7.0
548,2000-09-22,Haze,0.7414634146341463,0.0,0.0,0.68125,0.2626865671641793,0.0,0.0,30.8,0.0,0.0,0.0705,0.2708108108108108,2000.0,9.0,38.0,22.0,12.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.049501616245087685,0.4792893218813453,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,18,14,12,19,10,7.0
552,2000-09-23,Haze,0.6626016260162603,0.0,0.0,0.501736111111111,0.2475124378109458,0.0,0.0,32.166666666666664,0.0,0.0,0.06666666666666667,0.20090090090090093,2000.0,9.0,38.0,23.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0524158965555365,0.4410744349011211,0.49999999999999994,0.0,0.3964807197586971,0.010506786301598792,16,10,10,18,7,8.0
556,2000-09-24,Haze,0.6646341463414636,0.0,0.0,0.48177083333333326,0.2406716417910455,0.0,0.0,33.25,0.0,0.0,0.07208333333333333,0.2628378378378378,2000.0,9.0,38.0,24.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05761774859249315,0.5064640329894967,0.4999999999999999,0.0,0.3964807197586971,0.010506786301598792,16,10,9,19,10,8.0
560,2000-09-25,Haze,0.5731707317073171,0.0,0.0,0.3880208333333333,0.23880597014925442,0.0,0.0,32.25,0.0,0.0,0.06666666666666667,0.25,2000.0,9.0,39.0,25.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05761774859249312,0.3167592717138666,0.4999999999999999,0.0,0.45512357776215906,0.001756268235678593,12,7,9,18,9,8.0
