,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
293,2000-07-01,Haze,0.6422764227642276,0.0,0.0,0.4791666666666667,0.20149253731343286,0.0,0.0,32.0,0.0,0.0,0.05555555555555556,0.26756756756756755,2000.0,7.0,26.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25567902895182204,0.9231763352100092,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,15,9,5,15,10,8.0
297,2000-07-02,Haze,0.6524390243902439,0.0,0.0,0.47916666666666663,0.20149253731343308,0.0,0.0,32.5,0.0,0.0,0.044583333333333336,0.425,2000.0,7.0,26.0,2.0,6.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.41161165235168157,0.9548698042205854,0.06698729810778059,0.2500000000000001,0.0,0.5296333278225596,15,9,5,11,15,8.0
301,2000-07-03,Haze,0.6341463414634148,0.0,0.0,0.4520833333333333,0.2074626865671645,0.0,0.0,32.6,0.0,0.0,0.052666666666666674,0.3005405405405406,2000.0,7.0,27.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15,9,6,14,11,8.0
305,2000-07-04,Haze,0.6536585365853659,0.0,0.0,0.4208333333333333,0.20000000000000034,0.0,0.0,34.6,0.0,0.0,0.06333333333333332,0.13027027027027027,2000.0,7.0,27.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15,8,5,17,5,9.0
309,2000-07-05,Haze,0.6341463414634146,0.0,0.0,0.31875,0.19253731343283623,0.0,0.0,38.2,0.0,0.0,0.07333333333333333,0.21081081081081082,2000.0,7.0,27.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15,6,4,19,8,10.0
313,2000-07-06,Haze,0.6158536585365855,0.0,0.0,0.265625,0.17350746268656758,0.0,0.0,40.25,0.0,0.0,0.06666666666666667,0.3135135135135136,2000.0,7.0,27.0,6.0,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3167592717138665,0.9423822514075069,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,14,4,2,18,11,10.0
317,2000-07-07,Haze,0.6341463414634148,0.0,0.0,0.38125,0.18208955223880655,0.0,0.0,35.4,0.0,0.0,0.06333333333333334,0.3005405405405406,2000.0,7.0,27.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15,7,3,17,11,9.0
321,2000-07-08,Haze,0.6292682926829269,0.0,0.0,0.4374999999999999,0.18208955223880655,0.0,0.0,32.8,0.0,0.0,0.07166666666666667,0.4302702702702703,2000.0,7.0,27.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,14,8,3,19,15,8.0
325,2000-07-09,Haze,0.6536585365853659,0.0,0.0,0.4187499999999999,0.17014925373134365,0.0,0.0,34.6,0.0,0.0,0.06,0.26054054054054054,2000.0,7.0,27.0,9.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.0,0.4703666721774404,15,8,2,16,10,9.0
329,2000-07-10,Haze,0.6195121951219513,0.0,0.0,0.3916666666666666,0.16716417910447792,0.0,0.0,34.2,0.0,0.0,0.06666666666666667,0.1908108108108108,2000.0,7.0,28.0,10.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.007012735030251738,0.41151600349789386,14,7,1,18,7,9.0
333,2000-07-11,Haze,0.6195121951219513,0.0,0.0,0.4979166666666667,0.17611940298507509,0.0,0.0,30.4,0.0,0.0,0.047,0.22054054054054056,2000.0,7.0,28.0,11.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.007012735030251738,0.41151600349789386,14,10,2,12,8,7.0
337,2000-07-12,Haze,0.6341463414634146,0.0,0.0,0.49999999999999994,0.17910447761194082,0.0,0.0,31.0,0.0,0.0,0.05,0.5,2000.0,7.0,28.0,12.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14644660940672627,0.8535533905932737,0.06698729810778059,0.2500000000000001,0.007012735030251738,0.4115160034978938,15,10,3,13,18,8.0
341,2000-07-13,Haze,0.6097560975609757,0.0,0.0,0.3906249999999999,0.1809701492537319,0.0,0.0,33.75,0.0,0.0,0.08333333333333333,0.5256756756756757,2000.0,7.0,28.0,13.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4375,0.9747346320453218,0.06698729810778059,0.2500000000000001,0.007012735030251738,0.4115160034978938,14,7,3,19,19,8.0
345,2000-07-14,Haze,0.575609756097561,0.0,0.0,0.3729166666666666,0.1716417910447765,0.0,0.0,33.0,0.0,0.0,0.07999999999999999,0.5508108108108108,2000.0,7.0,28.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.007012735030251738,0.41151600349789386,12,7,2,19,19,8.0
349,2000-07-15,Haze,0.5975609756097562,0.0,0.0,0.40624999999999994,0.1641791044776122,0.0,0.0,32.5,0.0,0.0,0.041666666666666664,0.3756756756756757,2000.0,7.0,28.0,15.0,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.32322330470336313,0.9267766952966369,0.06698729810778059,0.2500000000000001,0.007012735030251738,0.4115160034978938,13,8,1,11,14,8.0
353,2000-07-16,Haze,0.628048780487805,0.0,0.0,0.4817708333333333,0.16977611940298543,0.0,0.0,31.5,0.0,0.0,0.037500000000000006,0.3878378378378378,2000.0,7.0,28.0,16.0,6.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.41161165235168157,0.9548698042205854,0.06698729810778059,0.2500000000000001,0.007012735030251738,0.4115160034978938,14,10,2,9,14,8.0
357,2000-07-17,Haze,0.6439024390243903,0.0,0.0,0.4708333333333333,0.17014925373134365,0.0,0.0,32.4,0.0,0.0,0.044333333333333336,0.21081081081081082,2000.0,7.0,29.0,17.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,15,9,2,11,8,8.0
361,2000-07-18,Haze,0.6585365853658537,0.0,0.0,0.5166666666666667,0.16716417910447792,0.0,0.0,31.6,0.0,0.0,0.043333333333333335,0.07027027027027027,2000.0,7.0,29.0,18.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,15,10,1,11,3,8.0
365,2000-07-19,Drizzle,0.5853658536585367,0.0,0.0,0.4583333333333333,0.17910447761194082,0.0,0.0,30.0,0.0,0.0,0.03333333333333333,0.2,2000.0,7.0,29.0,19.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6294095225512604,0.9829629131445341,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,13,9,3,8,7,7.0
369,2000-07-20,Haze,0.7195121951219513,0.0,0.0,0.6171875,0.18283582089552297,0.0,0.0,32.25,0.0,0.0,0.07083333333333333,0.4378378378378378,2000.0,7.0,29.0,20.0,7.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34911165235168157,0.9381229796936403,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,18,13,3,19,16,8.0
373,2000-07-21,Haze,0.5707317073170732,0.0,0.0,0.4291666666666666,0.18507462686567228,0.0,0.0,30.6,0.0,0.0,0.07666666666666666,0.6702702702702702,2000.0,7.0,29.0,21.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37928932188134523,0.9504983837549122,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,12,8,3,19,19,7.0
377,2000-07-22,Drizzle,0.7317073170731708,0.0,0.0,0.78125,0.20149253731343286,0.0,0.0,28.0,0.0,0.0,0.06666666666666667,0.5,2000.0,7.0,29.0,22.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14644660940672627,0.8535533905932737,0.06698729810778059,0.2500000000000001,0.02093976166303524,0.3539074561699246,18,17,5,18,18,7.0
