,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
212,2000-06-10,Haze,0.7121951219512196,0.0,0.0,0.7625,0.19701492537313497,0.0,0.0,27.6,0.0,0.0,0.04033333333333334,0.0,2000.0,6.0,23.0,10.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8539058011260054,0.353407417371093,0.0,0.5000000000000001,0.04158557497284521,0.7016502720814761,17,16,5,10,1,6.0
214,2000-06-11,Haze,0.6504065040650406,0.0,0.0,0.6041666666666666,0.18656716417910513,0.0,0.0,28.666666666666668,0.0,0.0,0.041666666666666664,0.06283783783783785,2000.0,6.0,23.0,11.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.923176335210009,0.2556790289518217,0.0,0.5000000000000001,0.04158557497284521,0.701650272081476,15,12,3,11,3,7.0
218,2000-06-12,Haze,0.6205962059620596,0.0,0.0,0.5081018518518517,0.19237147595356585,0.0,0.0,30.22222222222222,0.0,0.0,0.035740740740740747,0.27710210210210207,2000.0,6.0,24.0,12.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8932286679177839,0.4999999999999999,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,14,10,4,9,10,7.0
222,2000-06-13,Haze,0.6439024390243903,0.0,0.0,0.5458333333333333,0.18656716417910513,0.0,0.0,30.0,0.0,0.0,0.036,0.17027027027027025,2000.0,6.0,24.0,13.0,9.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9297877056362575,0.4633974596215561,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,15,11,3,9,6,7.0
226,2000-06-14,Haze,0.625,0.0,0.0,0.45572916666666663,0.18003731343283635,0.0,0.0,32.125,0.0,0.0,0.03583333333333333,0.30033783783783785,2000.0,6.0,24.0,14.0,11.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9111322514075068,0.44587341226347244,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,14,9,3,9,11,8.0
230,2000-06-15,Clear,0.6195121951219513,0.0,0.0,0.4187499999999999,0.18059701492537367,0.0,0.0,33.2,0.0,0.0,0.031999999999999994,0.5102702702702703,2000.0,6.0,24.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9039058011260055,0.7331951230073506,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,14,8,3,8,18,8.0
234,2000-06-16,Haze,0.6585365853658537,0.0,0.0,0.6158854166666666,0.17910447761194082,0.0,0.0,28.75,0.0,0.0,0.03625,0.45641891891891884,2000.0,6.0,24.0,16.0,13.875,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.921064665319875,0.3704292384393133,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,15,13,3,9,16,7.0
238,2000-06-17,Clear,0.6829268292682926,0.0,0.0,0.5535714285714286,0.18336886993603457,0.0,0.0,31.428571428571427,0.0,0.0,0.0369047619047619,0.32895752895752894,2000.0,6.0,24.0,17.0,13.571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8651564425879313,0.4815129253498199,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,11,3,9,12,8.0
242,2000-06-18,Clear,0.6951219512195123,0.0,0.0,0.5416666666666666,0.18656716417910513,0.0,0.0,32.5,0.0,0.0,0.03166666666666667,0.20709459459459462,2000.0,6.0,24.0,18.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9423822514075069,0.6832407282861335,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,17,11,3,8,8,8.0
246,2000-06-19,Haze,0.6504065040650406,0.0,0.0,0.5636574074074073,0.1965174129353239,0.0,0.0,29.88888888888889,0.0,0.0,0.047407407407407405,0.4666666666666667,2000.0,6.0,25.0,19.0,10.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8932286679177839,0.4999999999999999,0.0,0.5000000000000001,0.007012735030251738,0.5884839965021063,15,11,4,12,17,7.0
